Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,25.09,26.16,18.09,20.92,2307497168,8952220254
20-May-21,21.63,27.11,18.61,25.29,3031137026,10785315691
19-May-21,34.89,35.59,17.40,21.85,4255457611,9318413861
18-May-21,30.52,36.76,30.27,35.00,2400394975,14926940711
17-May-21,33.50,33.50,29.01,30.62,2081236589,13059304710
16-May-21,34.11,36.73,31.26,33.54,1912925007,14305059004
15-May-21,38.32,39.35,33.84,34.17,2241040716,14572344854
14-May-21,35.81,39.52,35.60,38.55,1863399181,16442541330
13-May-21,34.52,37.21,32.81,35.69,2831895031,15168432455
12-May-21,40.21,41.00,33.79,33.79,2029015518,14359289020
11-May-21,38.15,40.22,36.82,40.16,2126239182,16827783612
10-May-21,42.93,43.45,33.87,38.19,2980455665,16000074347
09-May-21,39.97,43.03,38.03,42.92,2493514613,17981839604
08-May-21,40.42,41.29,38.42,39.96,1781913296,16745198371
07-May-21,39.06,43.01,37.93,40.86,2875874824,17119221909
06-May-21,41.26,41.45,37.94,39.25,2475556384,16444786269
05-May-21,37.87,42.59,37.41,41.14,4093369066,17236584026
04-May-21,34.87,40.23,32.31,37.88,4501115309,15872416976
03-May-21,32.83,35.50,32.68,34.99,1532479998,14659424066
02-May-21,34.31,34.46,32.23,32.87,1222952261,13771195521
01-May-21,31.72,34.28,31.27,34.21,1360544701,14332922756
30-Apr-21,30.06,31.95,29.57,31.44,1219704876,13175579118
29-Apr-21,29.87,30.78,28.89,30.03,1129927401,12583591361
28-Apr-21,30.44,31.24,28.95,29.97,1217429547,12559244901
27-Apr-21,29.09,31.13,28.57,30.47,1323814875,12767072905
26-Apr-21,26.18,29.16,25.98,29.05,1386280221,12174204802
25-Apr-21,25.81,27.61,24.81,26.07,1114989804,10924740126
24-Apr-21,29.05,29.15,25.68,25.73,1357801303,10780849626
23-Apr-21,29.30,29.89,25.24,29.18,2997275377,12227600375
22-Apr-21,30.12,33.84,28.20,29.26,2694253983,12261225854
21-Apr-21,32.41,32.78,29.90,30.28,1708271012,12687226869
20-Apr-21,29.65,32.64,27.72,32.34,2663203111,13550659567
19-Apr-21,32.68,35.03,29.21,29.98,2848028874,12560623239
18-Apr-21,33.72,34.01,25.27,32.60,3711611344,13661379547
17-Apr-21,35.12,36.78,33.65,33.69,1822636668,14118142265
16-Apr-21,35.60,36.08,32.37,35.17,2520880190,14735664338
15-Apr-21,34.50,37.05,33.22,35.68,3050303711,14949362142
14-Apr-21,29.68,35.15,29.38,34.64,3196262191,14516485319
13-Apr-21,27.78,30.12,27.23,29.77,1490478417,12473956500
12-Apr-21,28.53,28.71,26.84,27.83,983252005,11659778037
11-Apr-21,26.81,28.93,26.69,28.50,1147789954,11942248266
10-Apr-21,26.58,27.76,26.09,26.80,886476301,11231262577
09-Apr-21,27.48,27.93,26.26,26.54,857197065,11122178714
08-Apr-21,26.28,27.68,26.15,27.58,1033600603,11514440219
07-Apr-21,29.30,29.57,25.51,26.26,2117297124,10962178470
06-Apr-21,27.43,29.57,26.56,29.44,2402179443,12291531418
05-Apr-21,26.31,27.73,25.51,27.53,1243498063,11495862872
04-Apr-21,25.11,26.86,24.88,26.33,976481084,10991270285
03-Apr-21,27.67,28.25,25.08,25.12,1457290038,10486255020
02-Apr-21,25.65,27.74,25.24,27.62,1328307582,11531239338
01-Apr-21,25.06,26.60,25.06,25.78,1547654844,10726331215
31-Mar-21,23.80,25.04,22.76,25.04,1210696428,10416432596
30-Mar-21,23.84,24.28,23.52,23.71,784899326,9863615704
29-Mar-21,22.65,24.20,22.46,23.80,952487733,9900827203
28-Mar-21,22.79,23.47,22.24,22.64,681979669,9416651080
27-Mar-21,23.23,23.32,22.11,22.79,664398273,9481040682
26-Mar-21,21.81,23.31,21.61,23.27,967926178,9678769572
25-Mar-21,21.19,22.55,20.84,21.75,1144432597,9016756718
24-Mar-21,22.72,23.56,20.49,21.16,1183863475,8769811551
23-Mar-21,22.94,23.45,22.42,22.55,942358485,9345628924
22-Mar-21,24.63,24.76,23.05,23.05,911130729,9553834387
21-Mar-21,24.84,25.23,24.05,24.50,811793560,10156838895
20-Mar-21,25.03,26.35,24.84,24.84,1004455628,10297045441
19-Mar-21,24.75,25.61,24.23,25.10,936772079,10402383151
18-Mar-21,25.88,26.12,24.35,24.63,1191699857,10171218336
17-Mar-21,23.45,26.22,23.04,26.05,1965406435,10758346688
16-Mar-21,23.05,23.59,22.22,23.41,1017194241,9667290520
15-Mar-21,24.07,24.58,22.51,23.00,1303135826,9498081370
14-Mar-21,24.91,25.21,23.93,24.09,888609131,9947348061
13-Mar-21,23.81,25.55,22.68,24.91,1455241964,10289345244
12-Mar-21,25.11,25.33,23.25,23.75,1197506946,9809224838
11-Mar-21,25.08,25.46,24.08,25.22,1289365403,10376261573
10-Mar-21,26.48,26.69,24.82,25.18,1350876104,10362281905
09-Mar-21,26.75,26.94,25.70,26.58,1376305831,10938318561
08-Mar-21,23.95,26.58,23.80,26.58,1855746671,10939274753
07-Mar-21,23.64,24.35,23.05,23.96,1095602144,9858817552
06-Mar-21,23.38,23.78,22.16,23.64,949053057,9726515070
05-Mar-21,23.16,23.53,21.50,23.30,1453973532,9586199069
04-Mar-21,24.86,25.33,22.70,23.00,1605720407,9428906151
03-Mar-21,23.59,25.96,23.38,24.82,1654748425,10175263940
