Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,0.82,0.82,0.82,0.82,981628622,3654011998
20-May-21,0.82,0.83,0.82,0.82,1177281783,3662147902
19-May-21,0.82,0.83,0.81,0.82,2005889366,3743079944
18-May-21,0.82,0.82,0.82,0.82,495684000,4086743153
17-May-21,0.82,0.83,0.82,0.82,812578417,4050351107
16-May-21,0.82,0.83,0.82,0.82,770169736,4032732297
15-May-21,0.82,0.82,0.82,0.82,454650182,3938354077
14-May-21,0.83,0.83,0.83,0.83,558142606,3947833491
13-May-21,0.83,0.83,0.83,0.83,1025908447,3875820266
12-May-21,0.82,0.83,0.82,0.82,645892785,3959266539
11-May-21,0.82,0.82,0.82,0.82,443628564,3926036261
10-May-21,0.82,0.83,0.82,0.82,609120793,3898281482
09-May-21,0.82,0.82,0.82,0.82,406373350,3832117381
08-May-21,0.82,0.82,0.82,0.82,419740086,3767395372
07-May-21,0.83,0.83,0.83,0.83,339875785,3759159060
06-May-21,0.83,0.83,0.83,0.83,376149211,3715216742
05-May-21,0.83,0.83,0.83,0.83,421381637,3546226850
04-May-21,0.83,0.83,0.83,0.83,661300588,3426941799
03-May-21,0.83,0.84,0.83,0.83,567074772,3372751811
02-May-21,0.83,0.84,0.83,0.83,269210054,3280223615
01-May-21,0.83,0.83,0.83,0.83,342940382,3251509872
30-Apr-21,0.82,0.83,0.82,0.82,273593105,3162193215
29-Apr-21,0.82,0.82,0.82,0.82,352560614,3157193465
28-Apr-21,0.83,0.83,0.83,0.83,377458860,3109577918
27-Apr-21,0.83,0.83,0.83,0.83,296126754,3074954105
26-Apr-21,0.83,0.83,0.82,0.83,402533007,3018923745
25-Apr-21,0.83,0.83,0.83,0.83,347888889,2989301861
24-Apr-21,0.83,0.83,0.83,0.83,382841424,2973824756
23-Apr-21,0.83,0.83,0.83,0.83,738618141,2980422068
22-Apr-21,0.83,0.83,0.83,0.83,615689796,2989949250
21-Apr-21,0.83,0.83,0.83,0.83,450180376,2987974292
20-Apr-21,0.83,0.83,0.82,0.83,418850895,2968113305
19-Apr-21,0.84,0.84,0.83,0.83,461603693,2981131559
18-Apr-21,0.84,0.86,0.83,0.83,664782188,2971008913
17-Apr-21,0.84,0.84,0.83,0.84,289830556,3019996326
16-Apr-21,0.84,0.84,0.84,0.84,366340796,2909158101
15-Apr-21,0.84,0.84,0.84,0.84,314959638,2783671122
14-Apr-21,0.84,0.84,0.84,0.84,402588615,2747059484
13-Apr-21,0.84,0.84,0.84,0.84,311327735,2774219713
12-Apr-21,0.84,0.84,0.84,0.84,228189167,2743470725
11-Apr-21,0.84,0.84,0.84,0.84,201201542,2758952579
10-Apr-21,0.84,0.84,0.84,0.84,255470019,2737258053
09-Apr-21,0.84,0.84,0.84,0.84,200064386,2683005879
08-Apr-21,0.84,0.85,0.84,0.85,231455584,2693870867
07-Apr-21,0.84,0.85,0.84,0.84,341031927,2679299151
06-Apr-21,0.85,0.85,0.85,0.85,297358080,2702082470
05-Apr-21,0.86,0.86,0.85,0.85,317205780,2696143319
04-Apr-21,0.85,0.86,0.85,0.86,268942541,2726441394
03-Apr-21,0.85,0.86,0.85,0.85,364072850,2706973677
02-Apr-21,0.85,0.86,0.85,0.85,327538511,2681796067
01-Apr-21,0.86,0.86,0.85,0.86,288008050,2611763322
31-Mar-21,0.86,0.86,0.85,0.86,277012123,2582376791
30-Mar-21,0.85,0.85,0.85,0.85,207280701,2570405212
29-Mar-21,0.85,0.87,0.85,0.85,250352472,2559111163
28-Mar-21,0.85,0.85,0.85,0.85,218391146,2534697687
27-Mar-21,0.85,0.85,0.85,0.85,212995534,2523773569
26-Mar-21,0.85,0.85,0.85,0.85,205541438,2523007175
25-Mar-21,0.85,0.85,0.85,0.85,239387022,2490827327
24-Mar-21,0.85,0.85,0.84,0.85,259438674,2469027746
23-Mar-21,0.84,0.84,0.84,0.84,242902421,2455322022
22-Mar-21,0.84,0.85,0.84,0.84,254923969,2448236306
21-Mar-21,0.84,0.84,0.84,0.84,171649570,2417573616
20-Mar-21,0.84,0.84,0.84,0.84,152362076,2407697756
19-Mar-21,0.84,0.84,0.84,0.84,168891909,2411510631
18-Mar-21,0.84,0.84,0.82,0.84,165823221,2393891567
17-Mar-21,0.84,0.85,0.84,0.84,183082069,2403395758
16-Mar-21,0.84,0.84,0.84,0.84,235903516,2385715005
15-Mar-21,0.84,0.84,0.84,0.84,276123178,2320354721
14-Mar-21,0.84,0.84,0.84,0.84,203871787,2302816707
13-Mar-21,0.84,0.84,0.84,0.84,238765096,2293192334
12-Mar-21,0.84,0.84,0.83,0.84,230583738,2260502430
11-Mar-21,0.84,0.84,0.84,0.84,287050151,2211058838
10-Mar-21,0.84,0.84,0.84,0.84,248310691,2202592537
09-Mar-21,0.84,0.85,0.84,0.84,403400508,2208371362
08-Mar-21,0.84,0.84,0.84,0.84,280160734,2153202516
07-Mar-21,0.84,0.84,0.84,0.84,239095312,2144931471
06-Mar-21,0.84,0.84,0.84,0.84,206715752,2164229861
05-Mar-21,0.84,0.84,0.84,0.84,361608881,2132394413
04-Mar-21,0.83,0.83,0.83,0.83,285608842,2112088193
03-Mar-21,0.83,0.83,0.83,0.83,244171546,2094815734
02-Mar-21,0.83,0.83,0.83,0.83,342134200,2089128738
01-Mar-21,0.83,0.83,0.83,0.83,329725368,2038872442
28-Feb-21,0.83,0.84,0.83,0.83,516845220,1937841431
27-Feb-21,0.83,0.83,0.83,0.83,249889248,1918105544
26-Feb-21,0.82,0.82,0.82,0.82,433410748,1896802863
25-Feb-21,0.82,0.82,0.82,0.82,340990225,1912354883
24-Feb-21,0.82,0.82,0.82,0.82,521103894,1909268959
23-Feb-21,0.82,0.84,0.82,0.82,1071627329,1881191875
22-Feb-21,0.83,0.84,0.82,0.83,693348148,1949846816
21-Feb-21,0.83,0.83,0.83,0.83,243326530,1963491229
20-Feb-21,0.83,0.83,0.83,0.83,337939385,1947573868
19-Feb-21,0.83,0.83,0.83,0.83,292441143,1717257853
18-Feb-21,0.83,0.83,0.83,0.83,258006443,1722981408
17-Feb-21,0.83,0.83,0.83,0.83,248001358,1716815741
16-Feb-21,0.83,0.83,0.82,0.83,215984656,1711075676
15-Feb-21,0.83,0.84,0.82,0.83,284892730,1712876771
14-Feb-21,0.83,0.83,0.83,0.83,210306408,1713942640
13-Feb-21,0.83,0.83,0.83,0.83,207859279,1711994013
12-Feb-21,0.83,0.83,0.82,0.83,223855197,1691067605
11-Feb-21,0.83,0.83,0.83,0.83,237750875,1674881476
10-Feb-21,0.83,0.83,0.82,0.83,299137425,1623911062
