Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,0.82,0.82,0.82,0.82,86815893,1121190655
20-May-21,0.82,0.82,0.82,0.82,96016503,1134683893
19-May-21,0.82,0.82,0.82,0.82,136488839,992582954
18-May-21,0.82,0.82,0.82,0.82,89277219,1017068207
17-May-21,0.82,0.82,0.82,0.82,130893829,1008739208
16-May-21,0.82,0.83,0.82,0.82,164266089,1017124618
15-May-21,0.82,0.82,0.82,0.82,162833756,996868249
14-May-21,0.83,0.83,0.83,0.83,117710117,1001640970
13-May-21,0.83,0.83,0.83,0.83,105307140,992130329
12-May-21,0.82,0.82,0.82,0.82,103784696,968953536
11-May-21,0.82,0.82,0.82,0.82,91824834,748400115
10-May-21,0.82,0.82,0.82,0.82,88489191,747034159
09-May-21,0.82,0.82,0.82,0.82,83860562,747336447
08-May-21,0.82,0.82,0.82,0.82,104284023,747179764
07-May-21,0.83,0.83,0.83,0.83,70561331,752967340
06-May-21,0.83,0.83,0.83,0.83,72789265,756299903
05-May-21,0.83,0.83,0.83,0.83,82581689,756520124
04-May-21,0.83,0.83,0.83,0.83,82326233,754083508
03-May-21,0.83,0.83,0.83,0.83,73320466,756128541
02-May-21,0.83,0.83,0.83,0.83,52915949,756630610
01-May-21,0.83,0.83,0.83,0.83,59574740,756317087
30-Apr-21,0.82,0.82,0.82,0.82,70384144,749434928
29-Apr-21,0.82,0.82,0.82,0.82,56458508,749293954
28-Apr-21,0.83,0.83,0.83,0.83,53596186,752325298
27-Apr-21,0.83,0.83,0.83,0.83,58958771,752398158
26-Apr-21,0.83,0.83,0.83,0.83,65277724,751784582
25-Apr-21,0.83,0.83,0.82,0.83,47717748,751503798
24-Apr-21,0.83,0.83,0.83,0.83,45270728,751140645
23-Apr-21,0.83,0.83,0.83,0.83,67038879,756778510
22-Apr-21,0.83,0.83,0.83,0.83,83684244,755431355
21-Apr-21,0.83,0.83,0.83,0.83,60143718,730090123
20-Apr-21,0.83,0.84,0.82,0.83,88456249,728914184
19-Apr-21,0.83,0.84,0.83,0.83,69070383,733761591
18-Apr-21,0.84,0.86,0.83,0.83,102240416,731993452
17-Apr-21,0.84,0.84,0.83,0.84,69373432,741032671
16-Apr-21,0.84,0.84,0.83,0.84,88382442,734912424
15-Apr-21,0.84,0.84,0.83,0.83,72911538,733566468
14-Apr-21,0.84,0.84,0.84,0.84,82650719,764489492
13-Apr-21,0.84,0.84,0.84,0.84,92745101,785404925
12-Apr-21,0.84,0.84,0.84,0.84,62122556,757665235
11-Apr-21,0.84,0.84,0.84,0.84,57933348,766457142
10-Apr-21,0.84,0.84,0.84,0.84,57035812,764136459
09-Apr-21,0.84,0.84,0.84,0.84,57884724,767577400
08-Apr-21,0.84,0.85,0.84,0.84,45447583,760041804
07-Apr-21,0.84,0.84,0.84,0.84,78126898,794190680
06-Apr-21,0.85,0.85,0.85,0.85,51952777,812909403
05-Apr-21,0.85,0.86,0.85,0.85,62502616,821968240
04-Apr-21,0.85,0.86,0.85,0.85,39433121,840593133
03-Apr-21,0.85,0.86,0.85,0.85,63890931,841130582
02-Apr-21,0.85,0.85,0.85,0.85,54993274,827583655
01-Apr-21,0.85,0.86,0.85,0.86,52106356,838647428
31-Mar-21,0.86,0.86,0.85,0.85,76922626,814253702
30-Mar-21,0.85,0.85,0.85,0.85,49579058,806582619
