Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,0.01,0.02,0.01,0.01,2895144,1116112109
20-May-21,0.01,0.02,0.01,0.01,3999304,1255896725
19-May-21,0.02,0.02,0.01,0.01,4946089,1209177888
18-May-21,0.02,0.02,0.02,0.02,5117207,1822188639
17-May-21,0.03,0.03,0.02,0.02,7983338,2068728147
16-May-21,0.02,0.03,0.02,0.03,7955600,2173478186
15-May-21,0.02,0.02,0.02,0.02,4936156,1473400043
14-May-21,0.02,0.02,0.02,0.02,6065781,1845517065
13-May-21,0.02,0.03,0.02,0.02,6293818,1706117865
12-May-21,0.04,0.04,0.02,0.02,11663541,2069497940
11-May-21,0.03,0.05,0.02,0.04,35206715,3437164502
10-May-21,0.01,0.03,0.01,0.03,17154589,2300920729
09-May-21,0.01,0.01,0.01,0.01,5721641,905645640
08-May-21,0.01,0.01,0.01,0.01,5613267,903253982
07-May-21,0.01,0.01,0.01,0.01,5802934,910700477
06-May-21,0.01,0.01,0.01,0.01,6000449,914898038
05-May-21,0.01,0.01,0.01,0.01,5903661,914344618
04-May-21,0.01,0.01,0.01,0.01,5815526,909435363
03-May-21,0.01,0.01,0.01,0.01,4422899,914515446
02-May-21,0.01,0.01,0.01,0.01,4639812,913585812
01-May-21,0.01,0.01,0.01,0.01,4401299,917353798
30-Apr-21,0.01,0.01,0.01,0.01,5118490,906176942
29-Apr-21,0.01,0.01,0.01,0.01,4718349,905990540
28-Apr-21,0.01,0.01,0.01,0.01,4644860,908483659
27-Apr-21,0.01,0.01,0.01,0.01,5062127,909323536
26-Apr-21,0.01,0.01,0.01,0.01,4356484,908740457
25-Apr-21,0.01,0.01,0.01,0.01,4120384,907371629
24-Apr-21,0.01,0.01,0.01,0.01,4970986,910408474
23-Apr-21,0.01,0.01,0.01,0.01,4571747,914967335
22-Apr-21,0.01,0.01,0.01,0.01,4449292,912300565
21-Apr-21,0.01,0.01,0.01,0.01,4728562,913113031
20-Apr-21,0.01,0.01,0.01,0.01,4785490,911616408
19-Apr-21,0.01,0.01,0.01,0.01,4731638,919608216
18-Apr-21,0.01,0.01,0.01,0.01,3797478,920999687
17-Apr-21,0.01,0.01,0.01,0.01,3765981,937730651
16-Apr-21,0.01,0.01,0.01,0.01,4442909,921953234
15-Apr-21,0.01,0.01,0.01,0.01,5002710,919820366
14-Apr-21,0.01,0.01,0.01,0.01,5013668,919438145
13-Apr-21,0.01,0.01,0.01,0.01,4795763,921436672
12-Apr-21,0.01,0.01,0.01,0.01,4319789,946850174
11-Apr-21,0.01,0.01,0.01,0.01,4423737,923989542
10-Apr-21,0.01,0.01,0.01,0.01,4570827,923464271
09-Apr-21,0.01,0.01,0.01,0.01,4785547,924571002
08-Apr-21,0.01,0.01,0.01,0.01,4319665,936247637
07-Apr-21,0.01,0.01,0.01,0.01,4152950,927860827
06-Apr-21,0.01,0.01,0.01,0.01,3984824,900814270
05-Apr-21,0.01,0.01,0.01,0.01,4554504,903176778
04-Apr-21,0.01,0.01,0.01,0.01,5168750,907411531
03-Apr-21,0.01,0.01,0.01,0.01,4594119,904040300
02-Apr-21,0.01,0.01,0.01,0.01,4276706,900972805
01-Apr-21,0.01,0.01,0.01,0.01,3589581,909430831
31-Mar-21,0.01,0.01,0.01,0.01,4578524,905259022
30-Mar-21,0.01,0.01,0.01,0.01,4296636,901823723
29-Mar-21,0.01,0.01,0.01,0.01,5307720,902265860
