Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,229.80,269.49,186.44,209.97,957851902,3761522119
20-May-21,162.87,238.01,149.62,232.02,716801119,4156328066
19-May-21,279.49,282.36,125.49,163.67,610148097,2931781031
18-May-21,279.24,296.44,269.54,280.72,286124420,5028429581
17-May-21,321.72,321.72,274.16,279.80,394773069,5011627923
16-May-21,314.62,332.92,306.50,321.85,390987107,5764638746
15-May-21,339.76,362.94,314.52,314.84,555322984,5638825731
14-May-21,333.36,349.48,329.40,341.68,349656125,6119251357
13-May-21,328.57,348.59,307.00,333.26,517301640,5968219669
12-May-21,373.16,393.34,323.08,323.08,527410205,5785634108
11-May-21,363.47,374.33,346.37,373.59,502754355,6689952416
10-May-21,397.49,408.56,349.91,362.91,547502685,6498540362
09-May-21,391.19,399.47,368.24,397.58,492019340,7118962114
08-May-21,373.85,399.34,371.36,390.91,678250081,6999257810
07-May-21,350.13,428.87,350.13,378.76,1477829319,6781503497
06-May-21,347.52,362.44,337.78,351.86,591037686,6299641683
05-May-21,315.77,347.72,313.07,347.21,455549742,6216103092
04-May-21,341.25,341.52,314.30,315.25,492454248,5643611622
03-May-21,336.47,354.28,334.16,342.57,439825439,6132537530
02-May-21,354.40,354.96,333.45,337.05,342023897,6033337673
01-May-21,350.58,360.74,345.91,354.64,456819201,6348035621
30-Apr-21,335.92,348.71,332.64,347.93,464159533,6227692538
29-Apr-21,340.98,350.21,329.37,335.68,474881515,6008044794
28-Apr-21,333.21,363.80,331.18,342.99,758239905,6138736185
27-Apr-21,335.56,341.38,318.92,333.41,498419499,5966936826
26-Apr-21,294.12,332.89,284.31,332.76,593689001,5955113678
25-Apr-21,315.41,333.87,277.65,293.76,599606691,5256996750
24-Apr-21,293.15,327.35,280.28,314.55,668585118,5628693621
23-Apr-21,289.12,295.40,251.40,295.40,879983502,5285811789
22-Apr-21,312.73,324.28,286.56,289.06,719707617,5172120944
21-Apr-21,335.89,353.08,311.34,315.60,1129774469,5646853283
20-Apr-21,296.33,343.37,272.93,333.11,1495899107,5959893117
19-Apr-21,282.60,305.50,257.04,297.13,879018637,5315860141
18-Apr-21,306.94,316.92,244.35,281.91,888256750,5043401033
17-Apr-21,285.07,315.95,285.07,306.71,741897219,5486810984
16-Apr-21,287.87,290.49,263.01,285.46,616443119,5106422407
15-Apr-21,267.99,290.92,266.43,287.27,542631481,5138669960
14-Apr-21,273.62,277.31,258.88,269.02,494554066,4811949912
13-Apr-21,264.07,278.10,258.06,274.74,579631292,4913018316
12-Apr-21,276.75,289.58,265.23,265.23,718812108,4742956738
11-Apr-21,245.42,277.17,245.33,275.03,627701710,4918295198
10-Apr-21,229.92,251.09,229.92,246.09,552285414,4400696457
09-Apr-21,226.58,243.50,224.02,229.79,465645066,4109176139
08-Apr-21,217.21,229.13,212.04,227.40,454919539,4066424529
07-Apr-21,228.26,235.99,213.57,217.07,621276915,3881613565
06-Apr-21,223.69,234.60,220.52,229.31,486530363,4100246505
05-Apr-21,222.08,230.60,219.42,224.31,415251079,4010677701
04-Apr-21,221.78,232.07,210.69,222.79,512206671,3983371811
03-Apr-21,221.83,229.46,214.79,221.86,449271947,3966447696
02-Apr-21,214.31,223.77,212.97,221.45,536981942,3958986439
01-Apr-21,209.82,220.62,207.05,215.34,524261878,3849538005
31-Mar-21,209.43,224.10,205.58,209.99,734119374,3753729107
30-Mar-21,199.49,212.58,198.34,208.58,450766040,3728350094
29-Mar-21,198.49,206.94,195.00,199.21,455668922,3560703898
28-Mar-21,190.33,198.44,182.18,198.38,476429838,3545777583
27-Mar-21,188.68,192.12,179.79,190.35,370967158,3402182083
26-Mar-21,181.50,194.65,181.23,188.92,355052724,3376451243
25-Mar-21,179.20,187.47,175.75,180.98,448921916,3234368204
24-Mar-21,184.76,194.77,177.06,178.78,534705259,3194531303
23-Mar-21,184.10,189.83,177.27,183.30,524726102,3275365961
22-Mar-21,196.20,200.39,183.76,184.90,466899275,3303752087
21-Mar-21,197.19,199.82,187.56,195.21,447243820,3488053320
20-Mar-21,194.84,202.95,191.17,197.23,379027068,3524067823
19-Mar-21,194.06,200.39,189.49,195.34,387845459,3490120764
18-Mar-21,196.96,201.12,187.93,193.09,413289216,3449627252
17-Mar-21,192.77,201.64,190.44,198.26,466062383,3541949467
16-Mar-21,186.35,192.80,178.62,192.37,450583403,3436501408
15-Mar-21,194.99,198.91,180.64,185.95,585971970,3321609754
14-Mar-21,199.51,201.25,191.91,195.08,510482064,3484548612
13-Mar-21,186.87,199.58,182.70,199.50,478020174,3563397560
12-Mar-21,184.66,188.38,181.01,186.39,412731876,3329157004
11-Mar-21,184.97,189.51,178.85,185.52,413447066,3313353986
10-Mar-21,189.40,191.24,181.27,185.55,489021017,3313750165
09-Mar-21,186.50,193.18,184.39,190.08,489653685,3394615626
08-Mar-21,174.99,185.41,171.33,185.35,562654625,3309840508
07-Mar-21,171.90,176.25,170.10,175.11,464578444,3126852569
06-Mar-21,173.17,174.72,166.58,171.90,530080235,3069381756
05-Mar-21,181.64,181.64,170.02,172.46,507199703,3079263176
04-Mar-21,182.34,185.60,174.54,180.34,584002551,3219941584
03-Mar-21,182.84,189.47,179.13,181.91,574276570,3247740009
02-Mar-21,191.11,192.96,175.79,183.39,530134970,3274100951
01-Mar-21,180.37,190.67,174.40,190.46,535169686,3400085132
28-Feb-21,173.36,187.43,165.54,180.57,735348408,3223450392
27-Feb-21,169.12,184.58,169.12,173.38,563291106,3094980054
26-Feb-21,162.54,178.67,159.57,167.78,616944525,2994801007
25-Feb-21,169.11,179.41,162.37,162.37,516369967,2898103763
24-Feb-21,180.71,185.15,163.58,169.33,708612334,3022135603
23-Feb-21,184.96,184.98,140.81,180.47,954986336,3220876092
22-Feb-21,204.29,204.38,160.13,185.63,824780361,3312881758
21-Feb-21,211.21,214.75,201.55,204.36,708145789,3646918155
20-Feb-21,233.97,237.85,203.62,211.29,818500567,3770343396
19-Feb-21,216.86,234.64,210.26,234.48,820624830,4183982227
18-Feb-21,225.01,228.70,209.69,217.66,744692256,3883669690
17-Feb-21,182.98,225.81,182.98,224.12,2013111902,3998779743
16-Feb-21,187.43,191.58,174.25,182.37,1571764063,3253656890
15-Feb-21,190.29,192.89,167.79,187.72,1696023229,3348957052
14-Feb-21,198.35,200.09,184.76,190.34,1553250645,3395578749
13-Feb-21,166.15,209.73,165.07,198.48,2068592777,3540619211
12-Feb-21,156.91,177.23,156.91,166.03,1585201438,2961696795
11-Feb-21,144.97,157.73,141.22,157.08,1131639163,2801912092
10-Feb-21,140.02,150.34,137.10,145.04,1116774080,2586940033
09-Feb-21,135.08,142.89,132.27,140.78,1051398917,2510804647
08-Feb-21,125.06,135.53,122.49,135.04,774365789,2408355459
07-Feb-21,126.64,129.66,122.64,125.11,667523453,2231119800
06-Feb-21,128.86,131.29,126.45,126.64,707552168,2258442110
05-Feb-21,124.17,129.79,123.50,129.76,853589600,2313957797
04-Feb-21,128.73,129.18,122.93,123.43,822842509,2200875128
03-Feb-21,125.90,129.03,125.67,128.74,838194172,2295488469
02-Feb-21,119.12,126.05,118.04,125.61,947820810,2239636290
01-Feb-21,113.88,120.61,112.01,118.57,815265799,2113877541
31-Jan-21,114.91,115.83,109.25,113.75,803562483,2027871601
30-Jan-21,115.72,117.08,112.43,114.91,852352040,2048535980
29-Jan-21,113.95,123.74,109.44,115.87,722040208,2065543480
28-Jan-21,104.13,115.49,102.57,112.39,904344884,2003307555
27-Jan-21,113.53,113.53,103.11,103.59,769941383,1846431119
26-Jan-21,113.01,115.79,110.22,113.77,810843874,2027753185
25-Jan-21,112.98,119.03,112.58,112.75,806979150,2009579051
24-Jan-21,113.52,116.84,110.23,112.92,1057168475,2012388512
23-Jan-21,111.44,115.88,109.98,113.52,996003935,2023078131
22-Jan-21,106.98,115.07,101.03,111.51,1198003231,1987049132
21-Jan-21,126.33,126.33,106.48,107.47,1204821407,1915129330
20-Jan-21,129.81,132.53,120.63,126.12,977832320,2247342923
19-Jan-21,129.96,136.80,126.50,130.42,1169856400,2323679169
18-Jan-21,132.24,133.33,125.02,130.07,1032031681,2317403477
17-Jan-21,129.09,135.81,124.65,132.11,1020346657,2353664242
16-Jan-21,130.29,134.10,127.12,129.10,874088529,2299848292
15-Jan-21,134.22,137.84,122.37,129.49,1195722517,2306749308
14-Jan-21,141.24,141.24,132.37,134.13,1547779529,2389315904
13-Jan-21,129.20,141.51,125.09,140.68,1191404212,2505811931
12-Jan-21,130.33,142.66,127.45,129.76,1481926204,2311145468
11-Jan-21,151.83,151.83,117.64,130.05,2231715121,2316278148
10-Jan-21,120.71,154.83,120.71,151.44,1853572080,2697151027
09-Jan-21,116.59,121.82,113.95,120.71,1083547955,2149663970
08-Jan-21,116.64,122.44,110.91,116.20,1129642166,2069257047
07-Jan-21,115.40,123.91,113.47,116.02,1314924730,2065962917
06-Jan-21,111.25,115.80,108.05,115.72,916334514,2060508084
05-Jan-21,109.07,113.93,105.85,111.69,1074388254,1988610191
04-Jan-21,112.82,117.53,105.92,109.12,897037479,1942858089
03-Jan-21,117.97,119.26,108.91,113.77,1017582271,2025584929
02-Jan-21,112.12,119.64,106.50,117.94,1478749134,2099610727
01-Jan-21,128.17,138.47,107.56,111.37,1593226288,1982613598
31-Dec-20,129.61,131.15,126.68,127.33,890806556,2266666749
30-Dec-20,131.72,133.80,128.70,130.08,1108965121,2315452754
29-Dec-20,136.19,136.63,126.80,132.02,1070165820,2349852649
28-Dec-20,128.93,137.82,128.52,136.49,1196983434,2429276790
27-Dec-20,137.76,139.93,128.42,128.98,1037991682,2295564170
26-Dec-20,130.63,137.76,130.61,137.74,1064994613,2451362712
25-Dec-20,128.66,132.10,125.37,130.72,936324659,2326182305
24-Dec-20,123.75,129.89,120.47,128.54,995652176,2287282180
23-Dec-20,128.18,138.53,122.21,123.84,1355762841,2203677069
22-Dec-20,119.51,128.70,117.60,127.62,887335362,2270738777
21-Dec-20,124.86,125.64,117.24,119.76,713222077,2130830131
20-Dec-20,126.46,127.86,123.54,124.41,961956294,2213462268
19-Dec-20,126.30,129.03,125.63,126.47,863481917,2249880811
18-Dec-20,130.65,130.68,125.00,126.25,977669577,2245990538
17-Dec-20,130.14,133.78,127.11,131.38,1247044698,2336992452
16-Dec-20,124.24,130.71,121.58,130.59,959428560,2322881370
15-Dec-20,125.68,128.01,124.18,124.29,687915076,2210702467
14-Dec-20,125.23,129.73,124.60,125.86,762442062,2238517788
13-Dec-20,121.15,125.66,118.82,125.43,671076756,2230660928
12-Dec-20,116.87,123.39,116.86,121.14,720719631,2154386478
11-Dec-20,110.24,116.60,106.99,116.54,511932549,2072502385
10-Dec-20,109.76,111.72,107.33,110.81,449373741,1970478525
09-Dec-20,112.08,112.21,105.37,109.53,754568984,1947646039
08-Dec-20,114.75,118.14,110.01,112.09,694549915,1993051152
07-Dec-20,111.08,118.59,110.74,114.61,853691743,2037697253
06-Dec-20,110.00,111.19,105.98,111.07,752887297,1974644760
05-Dec-20,104.77,110.12,102.87,110.01,643883748,1955623570
04-Dec-20,109.55,111.74,104.52,104.59,772497999,1859270647
