Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,0.14,0.17,0.13,0.15,455912,54975218
20-May-21,0.12,0.14,0.11,0.14,285651,51273088
19-May-21,0.16,0.17,0.1,0.12,549869,46073702
18-May-21,0.17,0.17,0.16,0.17,609022,62515417
17-May-21,0.15,0.2,0.15,0.17,1514291,64509857
16-May-21,0.16,0.16,0.14,0.15,214366,56156212
15-May-21,0.16,0.17,0.16,0.16,194375,58590104
14-May-21,0.16,0.17,0.16,0.16,144763,60858489
13-May-21,0.16,0.17,0.15,0.16,282310,60748922
12-May-21,0.19,0.2,0.17,0.17,358002,62307323
11-May-21,0.17,0.19,0.17,0.19,350210,70299922
10-May-21,0.19,0.2,0.17,0.17,420506,65506384
09-May-21,0.2,0.2,0.18,0.19,427276,71846316
08-May-21,0.2,0.21,0.19,0.2,355386,74200952
07-May-21,0.19,0.2,0.19,0.2,471367,74564579
06-May-21,0.21,0.21,0.19,0.2,401250,73709285
05-May-21,0.21,0.21,0.19,0.21,994528,78261074
04-May-21,0.22,0.23,0.2,0.21,501766,77674144
03-May-21,0.22,0.24,0.22,0.22,621532,84478815
02-May-21,0.22,0.22,0.21,0.22,250048,81511594
01-May-21,0.23,0.23,0.21,0.22,221614,83376951
30-Apr-21,0.21,0.23,0.21,0.22,307482,84303332
29-Apr-21,0.22,0.22,0.2,0.21,230206,79133982
28-Apr-21,0.23,0.24,0.21,0.22,463216,82767720
27-Apr-21,0.21,0.23,0.21,0.23,375349,86894895
26-Apr-21,0.18,0.22,0.18,0.21,581068,80418183
25-Apr-21,0.17,0.2,0.17,0.18,471511,68769876
24-Apr-21,0.18,0.18,0.17,0.17,297721,64135694
23-Apr-21,0.2,0.2,0.16,0.18,713998,67010550
22-Apr-21,0.23,0.25,0.2,0.2,534874,75829451
21-Apr-21,0.22,0.24,0.22,0.23,483814,85238278
20-Apr-21,0.22,0.24,0.2,0.22,603694,84579112
19-Apr-21,0.22,0.24,0.22,0.22,592269,83648026
18-Apr-21,0.25,0.26,0.21,0.22,865322,83294300
17-Apr-21,0.26,0.27,0.25,0.25,1162225,95942335
16-Apr-21,0.28,0.31,0.25,0.26,1184420,98276828
15-Apr-21,0.26,0.28,0.25,0.27,462763,103595028
14-Apr-21,0.27,0.28,0.25,0.26,735351,97015452
13-Apr-21,0.28,0.29,0.27,0.28,445988,103951622
12-Apr-21,0.29,0.3,0.27,0.28,345312,106256536
11-Apr-21,0.29,0.31,0.27,0.29,485240,108211719
10-Apr-21,0.3,0.32,0.28,0.29,894379,110922324
09-Apr-21,0.27,0.31,0.26,0.3,1159844,112431124
08-Apr-21,0.24,0.27,0.23,0.27,1034874,100472343
07-Apr-21,0.35,0.35,0.22,0.24,1969379,89534707
06-Apr-21,0.36,0.38,0.32,0.35,20173636,131069763
05-Apr-21,0.4,0.43,0.35,0.37,26195881,138220925
04-Apr-21,0.36,0.41,0.36,0.4,22021456,151976642
03-Apr-21,0.43,0.43,0.35,0.37,25658726,137904677
02-Apr-21,0.4,0.51,0.39,0.42,128201876,159269420
01-Apr-21,0.33,0.45,0.33,0.4,129253475,151003808
31-Mar-21,0.31,0.35,0.29,0.33,40564218,125396592
30-Mar-21,0.3,0.31,0.29,0.31,15307172,116075348
29-Mar-21,0.28,0.3,0.27,0.3,20268902,110898903
28-Mar-21,0.26,0.28,0.26,0.28,12125740,104778979
27-Mar-21,0.27,0.27,0.25,0.26,8689013,99212926
26-Mar-21,0.25,0.27,0.25,0.27,8340769,99610600
25-Mar-21,0.26,0.27,0.24,0.25,17921089,94618663
24-Mar-21,0.25,0.3,0.24,0.25,45780526,94679081
23-Mar-21,0.27,0.28,0.22,0.25,17701104,93478607
22-Mar-21,0.28,0.29,0.25,0.27,17880663,100620493
21-Mar-21,0.27,0.28,0.25,0.28,15910247,105366339
20-Mar-21,0.31,0.31,0.26,0.27,26385019,99921998
19-Mar-21,0.31,0.34,0.29,0.31,45342247,117129844
18-Mar-21,0.25,0.32,0.23,0.31,86946973,116815474
17-Mar-21,0.25,0.27,0.21,0.26,32251340,96665640
16-Mar-21,0.21,0.26,0.21,0.24,533252,92021732
15-Mar-21,0.22,0.23,0.19,0.21,1439320,79592677
14-Mar-21,0.22,0.25,0.2,0.22,25967962,82976242
13-Mar-21,0.19,0.27,0.19,0.22,95929201,81869337
12-Mar-21,0.18,0.2,0.17,0.19,17982347,72250196
11-Mar-21,0.18,0.21,0.17,0.18,31147479,67749216
10-Mar-21,0.17,0.19,0.15,0.18,37432067,66950274
09-Mar-21,0.15,0.17,0.14,0.17,32582749,64930915
08-Mar-21,0.16,0.16,0.14,0.15,6130186,56670666
07-Mar-21,0.16,0.17,0.15,0.16,20120112,58762020
06-Mar-21,0.16,0.16,0.15,0.16,5214523,59400872
05-Mar-21,0.15,0.16,0.14,0.16,7437771,59370541
04-Mar-21,0.14,0.16,0.14,0.15,8630862,57524274
03-Mar-21,0.13,0.15,0.13,0.14,343103,54322462
02-Mar-21,0.13,0.14,0.12,0.13,145827,48553196
01-Mar-21,0.12,0.14,0.12,0.13,162833,49695836
28-Feb-21,0.15,0.16,0.12,0.12,184921,45735772
27-Feb-21,0.13,0.17,0.13,0.15,23632862,54490482
26-Feb-21,0.12,0.13,0.11,0.13,202598,47845350
25-Feb-21,0.12,0.14,0.11,0.12,16945998,46073201
24-Feb-21,0.11,0.13,0.11,0.12,236750,43760619
23-Feb-21,0.16,0.16,0.1,0.11,365399,43010836
22-Feb-21,0.19,0.19,0.14,0.16,11994810,59747872
21-Feb-21,0.17,0.19,0.17,0.19,7716059,69792462
20-Feb-21,0.18,0.18,0.17,0.17,9308793,65464735
19-Feb-21,0.18,0.18,0.16,0.18,7629739,68741489
18-Feb-21,0.16,0.2,0.16,0.18,15730585,68273952
17-Feb-21,0.13,0.17,0.13,0.16,26500793,60462072
16-Feb-21,0.14,0.14,0.13,0.13,205220,48967690
15-Feb-21,0.13,0.16,0.11,0.14,25056309,52305676
14-Feb-21,0.12,0.14,0.12,0.13,10542140,48049766
13-Feb-21,0.12,0.12,0.11,0.12,4841421,45868139
12-Feb-21,0.12,0.12,0.11,0.12,4175931,43839142
11-Feb-21,0.1,0.12,0.09,0.12,10926084,43580484
10-Feb-21,0.09,0.1,0.09,0.1,3859204,36181746
09-Feb-21,0.09,0.1,0.09,0.09,2512390,34921670
08-Feb-21,0.09,0.09,0.08,0.09,1963064,33674049
07-Feb-21,0.09,0.09,0.08,0.09,1334688,32364335
06-Feb-21,0.09,0.09,0.09,0.09,1864981,32487672
05-Feb-21,0.09,0.09,0.08,0.09,2502127,34351226
04-Feb-21,0.08,0.09,0.08,0.09,4257566,32374190
03-Feb-21,0.08,0.09,0.08,0.08,2587702,31578582
02-Feb-21,0.08,0.08,0.08,0.08,739114,30000379
01-Feb-21,0.08,0.08,0.08,0.08,1048489,29136051
31-Jan-21,0.08,0.08,0.08,0.08,562916,29304432
30-Jan-21,0.08,0.08,0.08,0.08,858374,30418663
29-Jan-21,0.08,0.08,0.08,0.08,850328,29665870
28-Jan-21,0.07,0.08,0.07,0.08,804736,30424272
27-Jan-21,0.08,0.08,0.07,0.07,57091,27859773
26-Jan-21,0.08,0.08,0.08,0.08,21049,29780020
25-Jan-21,0.08,0.08,0.08,0.08,106938,29450877
24-Jan-21,0.08,0.08,0.08,0.08,42983,29680450
23-Jan-21,0.08,0.08,0.08,0.08,7433,29200297
22-Jan-21,0.08,0.08,0.07,0.08,89040,30456249
21-Jan-21,0.09,0.09,0.08,0.08,72693,29530211
20-Jan-21,0.09,0.09,0.08,0.09,110269,33024125
19-Jan-21,0.09,0.09,0.08,0.09,1988194,32993553
18-Jan-21,0.08,0.09,0.08,0.09,3127219,33273951
17-Jan-21,0.09,0.09,0.08,0.08,73970,31331428
16-Jan-21,0.09,0.09,0.08,0.09,4305747,33775885
15-Jan-21,0.08,0.1,0.08,0.09,11914296,33589295
14-Jan-21,0.08,0.08,0.08,0.08,2463266,31288256
13-Jan-21,0.08,0.08,0.07,0.08,40434,29597951
12-Jan-21,0.08,0.08,0.07,0.08,60911,28319782
11-Jan-21,0.08,0.08,0.07,0.08,97178,28398645
10-Jan-21,0.09,0.09,0.08,0.08,216908,30083937
09-Jan-21,0.08,0.09,0.08,0.09,2183904,34237214
08-Jan-21,0.08,0.09,0.07,0.08,123926,30551909
07-Jan-21,0.08,0.08,0.08,0.08,157993,30028384
06-Jan-21,0.08,0.08,0.07,0.08,175617,29886792
05-Jan-21,0.07,0.08,0.07,0.08,3202848,30940536
04-Jan-21,0.07,0.07,0.07,0.07,154530,27031467
03-Jan-21,0.08,0.08,0.07,0.07,194127,27888197
02-Jan-21,0.08,0.08,0.07,0.07,85335,28174200
01-Jan-21,0.07,0.08,0.07,0.08,4520,28264769
31-Dec-20,0.08,0.08,0.07,0.07,64281,27624960
30-Dec-20,0.08,0.08,0.07,0.08,44423,28473968
29-Dec-20,0.08,0.08,0.07,0.08,73162,28262600
28-Dec-20,0.08,0.08,0.07,0.08,45514,28764357
27-Dec-20,0.08,0.08,0.07,0.08,1580874,29332205
26-Dec-20,0.08,0.08,0.07,0.08,567516,28784207
25-Dec-20,0.08,0.08,0.08,0.08,1483837,29218520
24-Dec-20,0.07,0.08,0.07,0.08,2762112,29642086
23-Dec-20,0.08,0.08,0.07,0.07,997845,27824096
22-Dec-20,0.08,0.08,0.08,0.08,59633,29904139
21-Dec-20,0.08,0.09,0.08,0.08,1040245,29819738
20-Dec-20,0.08,0.09,0.08,0.08,80263,30888122
19-Dec-20,0.08,0.09,0.08,0.08,95152,31721757
18-Dec-20,0.08,0.08,0.08,0.08,883098,30066092
17-Dec-20,0.08,0.08,0.07,0.08,69703,29023925
16-Dec-20,0.08,0.08,0.08,0.08,467098,29378757
15-Dec-20,0.08,0.08,0.08,0.08,337151,29530118
14-Dec-20,0.08,0.08,0.08,0.08,329382,29456601
13-Dec-20,0.08,0.08,0.08,0.08,486999,29266876
12-Dec-20,0.08,0.08,0.08,0.08,407393,29524497
11-Dec-20,0.08,0.08,0.07,0.08,338300,28235940
10-Dec-20,0.08,0.08,0.08,0.08,461165,29312638
09-Dec-20,0.08,0.08,0.08,0.08,636346,30468736
08-Dec-20,0.09,0.09,0.08,0.08,1038503,30009754
07-Dec-20,0.08,0.09,0.08,0.09,1188106,32260294
06-Dec-20,0.08,0.08,0.08,0.08,332848,30836610
05-Dec-20,0.08,0.08,0.08,0.08,582068,31106984
04-Dec-20,0.09,0.09,0.08,0.08,856013,30189935
03-Dec-20,0.09,0.09,0.08,0.09,1047472,32355223
02-Dec-20,0.08,0.09,0.08,0.09,2230629,32512278
01-Dec-20,0.08,0.08,0.08,0.08,1749911,30635166
30-Nov-20,0.08,0.08,0.08,0.08,478013,29225960
29-Nov-20,0.08,0.08,0.08,0.08,347865,29273525
28-Nov-20,0.08,0.08,0.08,0.08,505654,29550188
27-Nov-20,0.08,0.08,0.07,0.08,591837,28785500
26-Nov-20,0.09,0.09,0.08,0.08,1951206,29286365
25-Nov-20,0.08,0.09,0.08,0.09,2293296,34127804
24-Nov-20,0.08,0.09,0.08,0.08,2146475,31732635
23-Nov-20,0.08,0.08,0.08,0.08,764816,29841533
22-Nov-20,0.08,0.08,0.08,0.08,1049599,28985017
21-Nov-20,0.08,0.08,0.08,0.08,1336006,29814808
20-Nov-20,0.08,0.08,0.08,0.08,257978,28438156
19-Nov-20,0.08,0.08,0.07,0.08,256640,28484750
18-Nov-20,0.08,0.08,0.07,0.08,459245,28704483
17-Nov-20,0.08,0.08,0.08,0.08,329475,29383349
16-Nov-20,0.08,0.08,0.08,0.08,247513,29223104
15-Nov-20,0.08,0.08,0.08,0.08,48602,28612959
14-Nov-20,0.08,0.08,0.08,0.08,446229,28971428
13-Nov-20,0.08,0.08,0.08,0.08,60327,29551965
12-Nov-20,0.08,0.08,0.07,0.08,457697,28677561
11-Nov-20,0.08,0.08,0.08,0.08,791114,29279801
10-Nov-20,0.08,0.08,0.07,0.08,1141708,29841483
09-Nov-20,0.08,0.08,0.07,0.07,563419,28057273
08-Nov-20,0.07,0.08,0.07,0.08,229588,29019818
07-Nov-20,0.08,0.08,0.07,0.07,766107,28004751
06-Nov-20,0.07,0.08,0.07,0.08,1690284,29179739
05-Nov-20,0.07,0.07,0.07,0.07,191236,27725673
04-Nov-20,0.07,0.07,0.07,0.07,140490,27042067
03-Nov-20,0.08,0.08,0.07,0.07,160522,28038183
02-Nov-20,0.08,0.08,0.08,0.08,235817,29043715
01-Nov-20,0.08,0.08,0.08,0.08,134474,29448236
31-Oct-20,0.08,0.08,0.08,0.08,256424,29419389
30-Oct-20,0.08,0.08,0.08,0.08,531819,29456005
29-Oct-20,0.08,0.09,0.08,0.08,1100983,30552869
28-Oct-20,0.08,0.08,0.08,0.08,517059,27245372
27-Oct-20,0.08,0.08,0.08,0.08,246549,28071297
26-Oct-20,0.08,0.08,0.08,0.08,263387,27374214
25-Oct-20,0.08,0.09,0.08,0.08,188628,28239570
24-Oct-20,0.08,0.09,0.08,0.08,382722,28770633
23-Oct-20,0.08,0.09,0.08,0.08,418459,28365666
22-Oct-20,0.08,0.08,0.08,0.08,363505,28341430
21-Oct-20,0.08,0.09,0.08,0.08,574328,27444781
20-Oct-20,0.09,0.09,0.08,0.08,1204595,28687506
19-Oct-20,0.1,0.11,0.09,0.09,2181530,30602647
18-Oct-20,0.1,0.1,0.09,0.1,591363,33081267
17-Oct-20,0.1,0.1,0.09,0.1,302357,33081693
16-Oct-20,0.1,0.1,0.09,0.1,1313082,33344040
15-Oct-20,0.09,0.1,0.09,0.1,1880785,33910218
14-Oct-20,0.09,0.09,0.09,0.09,546187,30077674
13-Oct-20,0.09,0.09,0.09,0.09,526094,30441638
12-Oct-20,0.09,0.09,0.09,0.09,727102,31098887
11-Oct-20,0.09,0.1,0.09,0.09,814100,31198334
10-Oct-20,0.09,0.1,0.09,0.09,818141,32177124
09-Oct-20,0.09,0.1,0.09,0.09,974929,31633373
08-Oct-20,0.09,0.09,0.09,0.09,807129,30408517
07-Oct-20,0.09,0.09,0.08,0.09,497408,29809674
06-Oct-20,0.08,0.09,0.08,0.08,647403,28752455
05-Oct-20,0.08,0.09,0.08,0.08,640122,28803553
04-Oct-20,0.08,0.08,0.08,0.08,488843,28377120
03-Oct-20,0.08,0.08,0.08,0.08,487379,28411531
02-Oct-20,0.09,0.09,0.08,0.08,593935,28090680
01-Oct-20,0.09,0.09,0.08,0.09,549564,29192792
30-Sep-20,0.09,0.09,0.09,0.09,455920,29465383
29-Sep-20,0.09,0.09,0.09,0.09,491591,29679996
28-Sep-20,0.09,0.09,0.09,0.09,530337,30326413
27-Sep-20,0.09,0.09,0.09,0.09,585216,30628203
26-Sep-20,0.09,0.09,0.09,0.09,488388,30415766
25-Sep-20,0.09,0.09,0.08,0.09,572206,30298730
24-Sep-20,0.08,0.09,0.08,0.09,524898,29911761
23-Sep-20,0.09,0.09,0.08,0.08,536699,28324508
22-Sep-20,0.09,0.09,0.08,0.09,446441,29823020
21-Sep-20,0.1,0.1,0.08,0.09,700511,29702717
20-Sep-20,0.09,0.1,0.09,0.1,655545,32431264
19-Sep-20,0.09,0.1,0.09,0.09,660060,31679404
18-Sep-20,0.09,0.09,0.09,0.09,596358,31183784
17-Sep-20,0.09,0.09,0.09,0.09,728362,29789399
16-Sep-20,0.09,0.09,0.09,0.09,806014,30019258
15-Sep-20,0.1,0.1,0.09,0.09,1024225,32149873
14-Sep-20,0.1,0.1,0.09,0.1,859899,32639957
13-Sep-20,0.1,0.1,0.09,0.1,1534207,32561765
12-Sep-20,0.1,0.1,0.1,0.1,1217206,33623715
11-Sep-20,0.11,0.11,0.1,0.1,2412453,34888563
10-Sep-20,0.09,0.12,0.09,0.12,7448653,39301549
09-Sep-20,0.09,0.09,0.08,0.09,644782,29876071
08-Sep-20,0.08,0.09,0.08,0.09,831329,29570620
07-Sep-20,0.08,0.09,0.08,0.08,574303,28654490
06-Sep-20,0.08,0.08,0.07,0.08,702310,28173262
05-Sep-20,0.09,0.09,0.08,0.08,686371,26534452
04-Sep-20,0.08,0.09,0.08,0.09,953270,29490698
03-Sep-20,0.1,0.1,0.08,0.08,844887,28594734
02-Sep-20,0.11,0.11,0.1,0.1,816097,33825823
01-Sep-20,0.11,0.11,0.1,0.1,809818,35658978
31-Aug-20,0.11,0.11,0.1,0.11,822038,35908608
30-Aug-20,0.11,0.11,0.11,0.11,1036904,37328941
29-Aug-20,0.11,0.11,0.1,0.11,1517900,36843254
28-Aug-20,0.1,0.11,0.1,0.11,910125,36249081
27-Aug-20,0.11,0.11,0.1,0.1,1169825,34898761
26-Aug-20,0.11,0.11,0.11,0.11,1149636,38372710
25-Aug-20,0.12,0.12,0.11,0.11,1386664,37871056
24-Aug-20,0.11,0.12,0.11,0.12,1655269,39623835
23-Aug-20,0.12,0.12,0.11,0.11,1391178,38803797
22-Aug-20,0.11,0.12,0.11,0.12,2236275,40302383
21-Aug-20,0.11,0.11,0.11,0.11,2352403,38132147
20-Aug-20,0.11,0.11,0.11,0.11,1580378,37572209
19-Aug-20,0.11,0.12,0.11,0.11,2094225,36405124
18-Aug-20,0.11,0.12,0.11,0.11,2846918,38623070
17-Aug-20,0.11,0.12,0.11,0.11,2087335,38137982
16-Aug-20,0.11,0.11,0.11,0.11,1278614,38558339
15-Aug-20,0.11,0.11,0.11,0.11,1010268,37118943
14-Aug-20,0.11,0.11,0.11,0.11,1360283,37374036
13-Aug-20,0.11,0.11,0.1,0.11,1524924,36665568
12-Aug-20,0.11,0.11,0.11,0.11,1195809,37794409
11-Aug-20,0.11,0.11,0.11,0.11,1901560,37734002
10-Aug-20,0.1,0.11,0.1,0.11,2186965,36894736
09-Aug-20,0.1,0.11,0.1,0.1,1938145,35348482
08-Aug-20,0.1,0.1,0.1,0.1,1262573,35073744
07-Aug-20,0.1,0.1,0.1,0.1,1263440,34495597
06-Aug-20,0.1,0.1,0.1,0.1,1142173,34604372
05-Aug-20,0.1,0.1,0.1,0.1,1294550,35637038
04-Aug-20,0.1,0.11,0.1,0.1,1352473,35045700
03-Aug-20,0.1,0.11,0.1,0.1,1545393,34651931
02-Aug-20,0.11,0.11,0.1,0.1,1583712,34333701
01-Aug-20,0.11,0.11,0.1,0.11,1438565,35985058
31-Jul-20,0.11,0.11,0.1,0.11,1460620,36375769
30-Jul-20,0.11,0.11,0.1,0.11,1571466,36378484
29-Jul-20,0.1,0.11,0.1,0.11,1946961,36731309
28-Jul-20,0.1,0.1,0.1,0.1,2007366,35264373
27-Jul-20,0.11,0.11,0.1,0.1,2117180,35113423
26-Jul-20,0.11,0.11,0.11,0.11,1597349,37216125
25-Jul-20,0.11,0.11,0.11,0.11,1780208,38363476
24-Jul-20,0.12,0.12,0.11,0.11,3019554,38717030
23-Jul-20,0.12,0.13,0.12,0.12,2214413,41538067
22-Jul-20,0.12,0.13,0.12,0.13,2633803,42673597
21-Jul-20,0.12,0.12,0.11,0.12,2114051,39667337
20-Jul-20,0.12,0.12,0.11,0.12,1899886,39666832
19-Jul-20,0.11,0.12,0.11,0.12,1791377,40195274
18-Jul-20,0.11,0.11,0.11,0.11,1102303,38657334
17-Jul-20,0.11,0.12,0.11,0.11,1099194,38605426
16-Jul-20,0.11,0.12,0.11,0.11,1258172,38286429
15-Jul-20,0.11,0.12,0.11,0.11,1114206,38877352
14-Jul-20,0.12,0.12,0.11,0.12,1218009,39286474
13-Jul-20,0.12,0.12,0.12,0.12,1693909,39903793
12-Jul-20,0.12,0.12,0.12,0.12,1176969,40696737
11-Jul-20,0.12,0.12,0.12,0.12,1366313,40959316
10-Jul-20,0.12,0.12,0.12,0.12,1349701,41522599
09-Jul-20,0.12,0.13,0.12,0.12,1743215,41002652
08-Jul-20,0.12,0.13,0.12,0.13,2285951,42664717
07-Jul-20,0.12,0.13,0.12,0.12,1519466,41199150
06-Jul-20,0.12,0.12,0.12,0.12,1061754,41610859
05-Jul-20,0.12,0.12,0.12,0.12,1226542,40962938
04-Jul-20,0.12,0.12,0.12,0.12,1255981,40970126
03-Jul-20,0.12,0.12,0.12,0.12,1650395,40704223
02-Jul-20,0.12,0.12,0.11,0.12,1479133,39653093
01-Jul-20,0.12,0.12,0.12,0.12,2434025,41450110
30-Jun-20,0.11,0.12,0.11,0.12,2087317,40697565
29-Jun-20,0.11,0.12,0.11,0.11,1387742,39007660
28-Jun-20,0.11,0.11,0.11,0.11,1327450,38922600
27-Jun-20,0.12,0.12,0.11,0.11,1121314,38775999
26-Jun-20,0.12,0.12,0.12,0.12,1524070,40092635
25-Jun-20,0.13,0.13,0.12,0.12,1666278,41407229
24-Jun-20,0.13,0.14,0.12,0.12,2564389,42525223
23-Jun-20,0.14,0.14,0.13,0.13,2104713,45609153
22-Jun-20,0.14,0.14,0.14,0.14,3104784,47156418
21-Jun-20,0.14,0.14,0.14,0.14,2790658,46942364
20-Jun-20,0.14,0.14,0.14,0.14,2138714,46328090
19-Jun-20,0.15,0.15,0.14,0.14,2527666,47269454
18-Jun-20,0.14,0.15,0.14,0.15,2686259,49603921
17-Jun-20,0.14,0.15,0.14,0.14,2411635,48297881
16-Jun-20,0.14,0.14,0.13,0.14,2436709,46820209
15-Jun-20,0.14,0.14,0.13,0.14,2217352,46970212
14-Jun-20,0.14,0.15,0.14,0.14,1944680,48373716
13-Jun-20,0.14,0.15,0.14,0.14,1630542,49076586
12-Jun-20,0.14,0.15,0.14,0.14,1786513,49273739
11-Jun-20,0.15,0.15,0.14,0.14,2143870,46454369
10-Jun-20,0.15,0.15,0.15,0.15,1968924,51945831
09-Jun-20,0.16,0.16,0.15,0.15,2088632,51941325
08-Jun-20,0.16,0.16,0.15,0.16,1935236,53783042
07-Jun-20,0.16,0.16,0.15,0.16,2074070,53568913
06-Jun-20,0.16,0.17,0.16,0.16,2653545,55270502
05-Jun-20,0.16,0.16,0.15,0.16,2381056,53281740
04-Jun-20,0.15,0.16,0.15,0.16,3177700,53349423
03-Jun-20,0.15,0.15,0.15,0.15,1864614,51098563
02-Jun-20,0.15,0.16,0.14,0.15,3779003,50079895
01-Jun-20,0.16,0.16,0.15,0.15,5289426,52334511
31-May-20,0.16,0.16,0.15,0.16,4935989,54365676
30-May-20,0.16,0.17,0.16,0.16,5208357,54364582
29-May-20,0.17,0.17,0.15,0.16,5609716,55290319
28-May-20,0.17,0.17,0.16,0.17,6014314,57762655
27-May-20,0.15,0.18,0.15,0.17,12528512,57870015
26-May-20,0.15,0.15,0.14,0.15,6205026,50815420
25-May-20,0.14,0.16,0.14,0.15,7458239,50599316
24-May-20,0.15,0.15,0.14,0.14,4607445,48123017
23-May-20,0.15,0.15,0.14,0.15,9806557,50682596
