Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,442.68,464.57,306.07,334.67,3359845,117135731
20-May-21,409.99,489.46,372.93,444.79,4934574,155676020
19-May-21,560.74,576.01,322.93,409.35,5890513,143272485
18-May-21,537.27,616.68,513.61,563.72,4759310,197302845
17-May-21,568.33,605.36,514.28,536.57,3771121,187798540
16-May-21,556.51,630.26,516.53,567.82,4002477,198735968
15-May-21,681.96,735.43,557.19,557.28,10521321,195049529
14-May-21,451.86,689.35,450.57,686.47,9704183,240265045
13-May-21,448.46,488.41,425.27,451.74,4656401,158110066
12-May-21,503.86,565.14,449.05,449.05,3825075,157168334
11-May-21,523.03,532.12,434.10,504.25,5220471,176488471
10-May-21,568.31,614.52,507.28,521.39,4947486,182485917
09-May-21,596.99,616.84,538.92,568.65,4788932,199029015
08-May-21,548.19,610.19,547.98,596.81,5364468,208884511
07-May-21,605.64,619.44,541.58,552.78,6251782,193472424
06-May-21,645.37,680.87,568.27,608.92,10154711,213122434
05-May-21,520.53,658.72,518.42,644.68,10293450,225637371
04-May-21,503.29,584.67,476.35,518.18,9577477,181362222
03-May-21,454.44,511.24,450.09,504.48,7941242,176568483
02-May-21,464.20,487.14,419.90,449.97,5838826,157490343
01-May-21,493.47,524.30,464.07,464.21,5673192,162472476
30-Apr-21,410.67,518.03,401.67,489.19,6198654,171217019
29-Apr-21,384.13,417.67,378.42,410.47,4505569,143663619
28-Apr-21,463.10,507.90,372.50,385.73,11156091,135004083
27-Apr-21,485.15,516.21,442.38,463.19,11618909,162117053
26-Apr-21,386.15,484.64,386.15,484.64,6163460,169623698
25-Apr-21,380.00,407.51,367.57,385.81,4391711,135035250
24-Apr-21,398.85,399.99,375.58,380.00,4422564,132999912
23-Apr-21,373.34,402.14,339.09,401.69,5351760,140591997
22-Apr-21,402.83,428.62,369.46,372.73,3882339,130456118
21-Apr-21,412.50,426.23,396.50,402.77,4166091,140968736
20-Apr-21,373.81,439.58,347.35,411.26,10485926,143939811
19-Apr-21,392.08,427.08,374.58,375.59,5578261,131457456
18-Apr-21,416.86,417.88,332.65,391.43,5395701,137001692
17-Apr-21,408.65,426.49,369.79,417.19,4976461,146018119
16-Apr-21,382.88,430.90,319.28,408.92,16869498,143122127
