Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,0.41,0.42,0.31,0.34,1748260227,7924129987
20-May-21,0.37,0.44,0.33,0.41,2241436337,9457595129
19-May-21,0.53,0.54,0.25,0.37,3450057770,8525854466
18-May-21,0.53,0.58,0.52,0.53,2214647803,12319776567
17-May-21,0.59,0.59,0.51,0.53,2878864725,12296531192
16-May-21,0.56,0.66,0.55,0.59,4194370618,13600049507
15-May-21,0.55,0.61,0.54,0.56,3400572162,12875381886
14-May-21,0.54,0.59,0.53,0.55,2679651883,12795034481
13-May-21,0.49,0.55,0.46,0.53,3041713278,12321735103
12-May-21,0.6,0.61,0.48,0.48,2296237821,11197009899
11-May-21,0.54,0.61,0.51,0.6,3707290616,13883748386
10-May-21,0.52,0.64,0.51,0.54,5518900524,12511546238
09-May-21,0.51,0.52,0.47,0.52,1693985187,11918088913
08-May-21,0.52,0.53,0.5,0.51,1375883431,11689862341
07-May-21,0.54,0.57,0.5,0.52,2500934598,12044932644
06-May-21,0.5,0.57,0.5,0.54,4064688101,12493704163
05-May-21,0.42,0.5,0.41,0.5,2361826899,11566553635
04-May-21,0.46,0.46,0.41,0.42,1339550481,9603096891
03-May-21,0.46,0.48,0.45,0.46,1176269921,10566016032
02-May-21,0.45,0.47,0.43,0.47,1162013435,10694618036
01-May-21,0.44,0.45,0.43,0.45,879243200,10318244455
30-Apr-21,0.41,0.45,0.4,0.44,1225048312,10033623302
29-Apr-21,0.41,0.42,0.39,0.41,724469654,9299341126
28-Apr-21,0.42,0.43,0.39,0.41,924437781,9442173466
27-Apr-21,0.4,0.43,0.39,0.42,1286690836,9669954164
26-Apr-21,0.34,0.4,0.34,0.4,1306673102,9202737296
25-Apr-21,0.35,0.37,0.33,0.34,935091806,7889536872
24-Apr-21,0.37,0.38,0.34,0.35,1162282263,8065872027
23-Apr-21,0.37,0.38,0.31,0.38,2028854024,8601627569
22-Apr-21,0.41,0.43,0.37,0.37,1409340605,8565338755
21-Apr-21,0.44,0.45,0.4,0.41,1232998214,9372866543
20-Apr-21,0.41,0.44,0.39,0.44,1488899486,10040771882
19-Apr-21,0.46,0.47,0.41,0.42,1584504768,9590474923
18-Apr-21,0.5,0.51,0.39,0.45,2205788968,10402716542
17-Apr-21,0.51,0.54,0.5,0.5,1458664593,11443887719
16-Apr-21,0.54,0.55,0.47,0.51,1904086724,11721524893
15-Apr-21,0.53,0.54,0.51,0.53,1572575991,12240667791
14-Apr-21,0.55,0.58,0.49,0.53,3083091256,12178443279
13-Apr-21,0.5,0.57,0.48,0.55,3660449789,12572592291
12-Apr-21,0.49,0.51,0.48,0.5,2250262146,11337823816
11-Apr-21,0.47,0.55,0.47,0.49,4860773873,11287244249
10-Apr-21,0.41,0.5,0.41,0.47,3052527198,10770210436
09-Apr-21,0.43,0.43,0.4,0.41,899748828,9311315739
08-Apr-21,0.4,0.43,0.4,0.43,1334341816,9731080288
07-Apr-21,0.46,0.46,0.39,0.4,2271558452,9084422262
06-Apr-21,0.46,0.49,0.41,0.46,3991380033,10462704541
05-Apr-21,0.37,0.47,0.37,0.46,3804326681,10368970997
04-Apr-21,0.36,0.38,0.35,0.37,1031575175,8468376190
03-Apr-21,0.38,0.4,0.36,0.36,1375542381,8086303376
02-Apr-21,0.37,0.4,0.37,0.38,1858571528,8623531683
01-Apr-21,0.35,0.37,0.35,0.37,1249721705,8380384079
31-Mar-21,0.35,0.35,0.33,0.35,897989458,7960186779
30-Mar-21,0.35,0.35,0.34,0.34,750308137,7830217829
29-Mar-21,0.34,0.35,0.33,0.35,790879189,7855113233
28-Mar-21,0.33,0.35,0.32,0.34,1120975633,7681781951
27-Mar-21,0.33,0.33,0.32,0.33,607104554,7400566329
26-Mar-21,0.31,0.33,0.31,0.33,768996329,7464594407
25-Mar-21,0.31,0.32,0.3,0.31,902667640,7027415169
24-Mar-21,0.34,0.34,0.3,0.31,824472887,7058130100
23-Mar-21,0.33,0.34,0.33,0.34,924615399,7598701788
22-Mar-21,0.34,0.36,0.33,0.33,1176276114,7560862195
21-Mar-21,0.35,0.36,0.33,0.34,1006203419,7678204203
20-Mar-21,0.33,0.37,0.33,0.35,1316824335,7914977511
19-Mar-21,0.33,0.34,0.33,0.33,654310963,7569563087
18-Mar-21,0.34,0.34,0.32,0.33,716040742,7511323783
17-Mar-21,0.33,0.34,0.33,0.34,782608494,7692846657
16-Mar-21,0.32,0.34,0.31,0.33,982834914,7509027924
15-Mar-21,0.33,0.33,0.31,0.32,819709359,7295698815
14-Mar-21,0.34,0.34,0.33,0.33,660042798,7405671152
13-Mar-21,0.32,0.34,0.32,0.34,902310931,7722139241
12-Mar-21,0.34,0.34,0.32,0.32,777779438,7317879903
11-Mar-21,0.34,0.35,0.33,0.34,798177371,7688111809
10-Mar-21,0.36,0.36,0.34,0.35,820251526,7802992146
09-Mar-21,0.35,0.37,0.35,0.37,885052341,8240794504
08-Mar-21,0.35,0.35,0.34,0.35,718775107,7903617284
07-Mar-21,0.34,0.35,0.34,0.35,668205750,7819944313
06-Mar-21,0.34,0.34,0.33,0.34,571382718,7639366131
05-Mar-21,0.34,0.34,0.32,0.34,701859892,7661350617
04-Mar-21,0.35,0.35,0.34,0.34,885871895,7738020176
03-Mar-21,0.35,0.36,0.34,0.35,988919416,7872957475
02-Mar-21,0.36,0.36,0.33,0.35,968984164,7849094131
01-Mar-21,0.34,0.36,0.33,0.36,1150493521,8017728314
28-Feb-21,0.37,0.37,0.32,0.34,1564352782,7586971672
27-Feb-21,0.33,0.39,0.33,0.37,2318855153,8236375141
26-Feb-21,0.31,0.33,0.29,0.33,1140202528,7418411252
25-Feb-21,0.33,0.35,0.31,0.31,1085468984,7050272121
24-Feb-21,0.32,0.36,0.3,0.34,1532423987,7540161864
23-Feb-21,0.38,0.38,0.26,0.32,2435374566,7143131179
22-Feb-21,0.41,0.43,0.33,0.39,2435874687,8659573873
21-Feb-21,0.4,0.42,0.39,0.41,1395825166,9245400014
20-Feb-21,0.42,0.44,0.39,0.4,1775870711,9045917711
19-Feb-21,0.41,0.43,0.4,0.42,1392540644,9542695767
18-Feb-21,0.41,0.43,0.4,0.41,1380912684,9273338041
17-Feb-21,0.4,0.42,0.38,0.41,1537795873,9220774416
16-Feb-21,0.41,0.42,0.39,0.4,1732156756,8994476935
15-Feb-21,0.43,0.44,0.36,0.41,2642655159,9124454520
14-Feb-21,0.46,0.47,0.41,0.43,2539977860,9565386296
13-Feb-21,0.43,0.5,0.43,0.46,4553851759,10347396070
12-Feb-21,0.37,0.44,0.36,0.44,3054281702,9745597270
11-Feb-21,0.34,0.38,0.34,0.37,2677339636,8358886986
10-Feb-21,0.33,0.36,0.32,0.34,2890059751,7611916285
09-Feb-21,0.33,0.33,0.32,0.33,1508807979,7362653117
08-Feb-21,0.32,0.33,0.31,0.33,2109616732,7335492911
07-Feb-21,0.31,0.35,0.3,0.32,4171859925,7105129812
06-Feb-21,0.29,0.33,0.28,0.31,2106731292,6972226632
05-Feb-21,0.27,0.3,0.27,0.29,1794115987,6522546135
04-Feb-21,0.28,0.29,0.26,0.27,1291218761,6023937325
03-Feb-21,0.28,0.29,0.27,0.28,1234664598,6335653493
02-Feb-21,0.27,0.29,0.26,0.28,1848062909,6215602842
01-Feb-21,0.25,0.3,0.24,0.27,3061861664,5912605265
31-Jan-21,0.27,0.28,0.24,0.25,1899434971,5604899591
30-Jan-21,0.24,0.29,0.23,0.27,3206004027,5956260182
29-Jan-21,0.25,0.3,0.24,0.24,4419687014,5409390363
28-Jan-21,0.2,0.25,0.19,0.24,1215348407,5335776686
27-Jan-21,0.22,0.22,0.19,0.2,550064302,4342341392
26-Jan-21,0.22,0.22,0.21,0.22,552365327,4760727929
25-Jan-21,0.22,0.23,0.21,0.22,586355696,4760903430
24-Jan-21,0.22,0.23,0.22,0.22,662063157,4928500689
23-Jan-21,0.22,0.23,0.22,0.22,719204250,4895809588
22-Jan-21,0.21,0.23,0.19,0.22,1143971401,4911187635
21-Jan-21,0.24,0.24,0.2,0.21,894826469,4607595857
20-Jan-21,0.25,0.25,0.23,0.24,956836153,5360490954
19-Jan-21,0.25,0.26,0.25,0.25,1267347183,5476350052
18-Jan-21,0.25,0.25,0.24,0.25,838015119,5559268658
17-Jan-21,0.24,0.26,0.24,0.25,1559764322,5552776733
16-Jan-21,0.24,0.26,0.23,0.24,1305146186,5341562069
15-Jan-21,0.25,0.26,0.22,0.23,1272625419,5180143264
14-Jan-21,0.25,0.26,0.24,0.25,1436093843,5498502893
13-Jan-21,0.23,0.25,0.23,0.25,1582615552,5500578826
12-Jan-21,0.22,0.26,0.21,0.23,2427293875,5115753510
11-Jan-21,0.24,0.24,0.18,0.22,2058778632,4925415559
10-Jan-21,0.26,0.27,0.22,0.24,1594669843,5204493843
09-Jan-21,0.25,0.27,0.23,0.26,1850919101,5622412292
08-Jan-21,0.26,0.27,0.22,0.25,2975912114,5438278763
07-Jan-21,0.28,0.33,0.24,0.26,5069780285,5633264170
06-Jan-21,0.16,0.31,0.16,0.28,8462861227,6091302863
05-Jan-21,0.13,0.17,0.12,0.16,2088390900,3490597224
04-Jan-21,0.11,0.14,0.11,0.13,1348388442,2958184365
03-Jan-21,0.11,0.11,0.1,0.11,572016104,2463665066
02-Jan-21,0.11,0.11,0.11,0.11,381784852,2308305123
01-Jan-21,0.11,0.11,0.1,0.11,403744673,2375399489
31-Dec-20,0.11,0.11,0.1,0.1,393777550,2287834727
30-Dec-20,0.11,0.11,0.11,0.11,453642424,2358545416
29-Dec-20,0.12,0.12,0.11,0.11,623961963,2487419142
28-Dec-20,0.12,0.13,0.12,0.12,474401026,2592788462
27-Dec-20,0.12,0.13,0.11,0.12,622102168,2600249872
26-Dec-20,0.13,0.13,0.12,0.12,436966161,2637453832
25-Dec-20,0.13,0.14,0.12,0.13,709127606,2738597018
24-Dec-20,0.1,0.14,0.1,0.13,1288689166,2862202934
23-Dec-20,0.13,0.13,0.09,0.1,978675685,2269842882
22-Dec-20,0.14,0.14,0.13,0.13,540395782,2897479850
21-Dec-20,0.14,0.15,0.13,0.14,417120095,2977121961
20-Dec-20,0.15,0.15,0.14,0.14,374578479,3152930030
19-Dec-20,0.15,0.15,0.15,0.15,394216568,3239487169
18-Dec-20,0.15,0.15,0.14,0.15,670973525,3296457765
17-Dec-20,0.16,0.17,0.15,0.15,1364507748,3328313138
16-Dec-20,0.14,0.16,0.13,0.16,872052269,3434709380
15-Dec-20,0.14,0.15,0.14,0.14,386210854,2987707800
14-Dec-20,0.14,0.15,0.14,0.14,430785824,3047965347
13-Dec-20,0.13,0.15,0.13,0.14,568922009,3144415019
12-Dec-20,0.12,0.14,0.12,0.13,420749628,2858443713
11-Dec-20,0.13,0.14,0.12,0.12,501204835,2710979276
10-Dec-20,0.14,0.15,0.13,0.13,638047737,2901378860
09-Dec-20,0.13,0.14,0.12,0.14,772427385,3093861088
08-Dec-20,0.14,0.14,0.12,0.13,357599089,2743459446
07-Dec-20,0.14,0.15,0.14,0.14,262121156,3020868782
