Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,0.82,0.82,0.82,0.82,143750396786,47938119484
20-May-21,0.82,0.82,0.82,0.82,167088269147,47752465178
19-May-21,0.82,0.82,0.82,0.82,228338573521,47812284454
18-May-21,0.82,0.82,0.82,0.82,114751253581,47886916191
17-May-21,0.82,0.82,0.82,0.82,143326364350,47880482304
16-May-21,0.82,0.82,0.82,0.82,128594671417,48006611246
15-May-21,0.82,0.82,0.82,0.82,131929373571,47934247163
14-May-21,0.83,0.83,0.83,0.83,130586197761,47833311621
13-May-21,0.83,0.83,0.83,0.83,197542931985,47830638044
12-May-21,0.82,0.82,0.82,0.82,148108184201,47167083621
11-May-21,0.82,0.82,0.82,0.82,144403962198,46554098675
10-May-21,0.82,0.82,0.82,0.82,161599852749,45852697057
09-May-21,0.82,0.82,0.82,0.82,145622908888,45661906544
08-May-21,0.82,0.82,0.82,0.82,127408815307,45440406618
07-May-21,0.83,0.83,0.83,0.83,162356039345,45318155792
06-May-21,0.83,0.83,0.83,0.83,174169617632,44609775567
05-May-21,0.83,0.83,0.83,0.83,162006739256,43967535914
04-May-21,0.83,0.83,0.83,0.83,152985208720,43253298695
03-May-21,0.83,0.83,0.83,0.83,95962534725,43305494989
02-May-21,0.83,0.83,0.83,0.83,72496149123,43085722393
01-May-21,0.83,0.83,0.83,0.83,77838413742,42851091506
30-Apr-21,0.82,0.82,0.82,0.82,81744574314,42055982903
29-Apr-21,0.82,0.82,0.82,0.82,77224832032,42033881780
28-Apr-21,0.83,0.83,0.83,0.83,88689312101,42144945340
27-Apr-21,0.83,0.83,0.83,0.83,83482503486,41645690862
26-Apr-21,0.83,0.83,0.83,0.83,94886399752,41352996169
25-Apr-21,0.83,0.83,0.83,0.83,75830524266,41300607219
24-Apr-21,0.83,0.83,0.83,0.83,87016501827,40858187822
23-Apr-21,0.83,0.83,0.83,0.83,167249711606,41027311904
22-Apr-21,0.83,0.83,0.83,0.83,138576823715,40966180414
21-Apr-21,0.83,0.83,0.83,0.83,108471771861,40766572389
20-Apr-21,0.83,0.83,0.83,0.83,142155136997,40423585479
19-Apr-21,0.84,0.84,0.84,0.84,141738610166,40220586740
18-Apr-21,0.84,0.86,0.83,0.83,189008092403,40127206298
17-Apr-21,0.84,0.84,0.83,0.84,148975251966,40356511206
16-Apr-21,0.84,0.84,0.84,0.84,194108030030,39243986161
15-Apr-21,0.84,0.84,0.83,0.84,111996087293,38830650619
14-Apr-21,0.84,0.84,0.84,0.84,143913802454,38412476937
13-Apr-21,0.84,0.84,0.84,0.84,115139389773,38081465150
12-Apr-21,0.84,0.84,0.84,0.84,89697068657,37360328083
11-Apr-21,0.84,0.84,0.84,0.84,84260182799,37410002047
10-Apr-21,0.84,0.84,0.84,0.84,93741805527,37306101158
09-Apr-21,0.84,0.84,0.84,0.84,72585371923,36789340658
08-Apr-21,0.84,0.84,0.84,0.84,84484476210,36761065699
07-Apr-21,0.84,0.84,0.84,0.84,135600904500,36329619381
06-Apr-21,0.85,0.85,0.85,0.85,123471090343,36432649326
05-Apr-21,0.85,0.85,0.85,0.85,112446251363,36028282206
04-Apr-21,0.85,0.86,0.85,0.85,84579640880,36144902547
03-Apr-21,0.85,0.85,0.85,0.85,93189581540,36090840856
02-Apr-21,0.85,0.85,0.85,0.85,88066710348,35408236939
01-Apr-21,0.85,0.85,0.85,0.85,92370480204,34746131298
31-Mar-21,0.85,0.86,0.85,0.85,94908752587,34740895575
30-Mar-21,0.85,0.85,0.85,0.85,70272561011,34566719468
29-Mar-21,0.85,0.85,0.85,0.85,68612338094,34332390875
28-Mar-21,0.85,0.85,0.85,0.85,58769088345,34339295017
27-Mar-21,0.85,0.85,0.85,0.85,62391771436,34071837802
26-Mar-21,0.85,0.85,0.85,0.85,70417943318,34195849127
25-Mar-21,0.85,0.85,0.85,0.85,82345900600,34140336889
24-Mar-21,0.85,0.85,0.84,0.85,82062946957,33685925794
23-Mar-21,0.84,0.84,0.84,0.84,73479901385,33258237579
22-Mar-21,0.84,0.84,0.84,0.84,72391245339,33335763784
21-Mar-21,0.84,0.84,0.84,0.84,63143182618,33120695984
20-Mar-21,0.84,0.84,0.84,0.84,66052979939,33085009949
19-Mar-21,0.84,0.84,0.84,0.84,66278123980,32983800064
18-Mar-21,0.83,0.84,0.83,0.84,72917670450,32473140570
17-Mar-21,0.84,0.84,0.84,0.84,79211199833,32475185369
16-Mar-21,0.84,0.84,0.84,0.84,84829552213,32403817745
15-Mar-21,0.84,0.84,0.84,0.84,92817932487,32230862220
14-Mar-21,0.84,0.84,0.84,0.84,69878159023,31987608937
13-Mar-21,0.84,0.84,0.84,0.84,88094800490,31978486373
12-Mar-21,0.83,0.84,0.83,0.83,82941401184,31810103912
11-Mar-21,0.84,0.84,0.84,0.84,78454456027,31452241803
10-Mar-21,0.84,0.84,0.84,0.84,79878956853,31184853278
09-Mar-21,0.84,0.84,0.84,0.84,80544236629,31069555211
08-Mar-21,0.84,0.84,0.84,0.84,74521125332,30595718465
07-Mar-21,0.84,0.84,0.84,0.84,58834545570,30608155987
06-Mar-21,0.84,0.84,0.84,0.84,56007704422,30578844954
05-Mar-21,0.84,0.84,0.84,0.84,73109061035,30414659540
04-Mar-21,0.83,0.83,0.83,0.83,85656812884,30088498972
03-Mar-21,0.83,0.83,0.83,0.83,78437415554,29696403238
02-Mar-21,0.83,0.83,0.83,0.83,77021996753,29430692988
01-Mar-21,0.83,0.83,0.83,0.83,79627199759,29011368324
28-Feb-21,0.83,0.83,0.83,0.83,88211560009,29035056815
27-Feb-21,0.83,0.83,0.83,0.83,78453628218,29012369243
26-Feb-21,0.82,0.82,0.82,0.82,102444380680,28779129074
25-Feb-21,0.82,0.82,0.82,0.82,86683666950,28708148758
24-Feb-21,0.82,0.82,0.82,0.82,106170109548,28730303578
23-Feb-21,0.82,0.82,0.82,0.82,161097472858,28577084869
22-Feb-21,0.83,0.83,0.82,0.83,139984910485,28422890774
21-Feb-21,0.83,0.83,0.83,0.83,84538707398,28278767690
20-Feb-21,0.83,0.83,0.82,0.83,113453986986,28160143957
19-Feb-21,0.83,0.83,0.83,0.83,94003797110,27740462702
18-Feb-21,0.83,0.83,0.83,0.83,78836781563,27510423619
17-Feb-21,0.83,0.83,0.83,0.83,115080658274,26818828304
16-Feb-21,0.82,0.82,0.82,0.82,116230600753,26581526163
15-Feb-21,0.83,0.83,0.82,0.83,134235706362,26483286091
14-Feb-21,0.83,0.83,0.83,0.83,114148706217,26427619805
13-Feb-21,0.83,0.83,0.83,0.83,126335141843,26084526602
12-Feb-21,0.82,0.83,0.82,0.83,121267980965,25714872466
11-Feb-21,0.83,0.83,0.83,0.83,119360519172,25363263844
10-Feb-21,0.83,0.83,0.83,0.83,138085234573,25028196856
09-Feb-21,0.83,0.83,0.83,0.83,129112566090,24723523396
08-Feb-21,0.83,0.83,0.83,0.83,130037266779,23898409574
07-Feb-21,0.83,0.83,0.83,0.83,108181619917,23770328760
06-Feb-21,0.83,0.83,0.83,0.83,100455578955,23453476209
05-Feb-21,0.84,0.84,0.84,0.84,97143025666,23226332084
04-Feb-21,0.83,0.83,0.83,0.83,108048294525,22800331488
03-Feb-21,0.83,0.83,0.83,0.83,88240448479,22471480899
02-Feb-21,0.83,0.83,0.83,0.83,93128534971,22205086882
01-Feb-21,0.83,0.83,0.82,0.83,97182447658,21957610867
31-Jan-21,0.82,0.82,0.82,0.82,83483024723,21793608536
30-Jan-21,0.82,0.82,0.82,0.82,95282189396,21729265014
29-Jan-21,0.83,0.83,0.82,0.83,151512114734,20920615638
28-Jan-21,0.83,0.83,0.83,0.83,86012385097,21022580325
27-Jan-21,0.82,0.82,0.82,0.82,87055276029,20749368956
26-Jan-21,0.82,0.83,0.82,0.82,83730116609,20593741691
25-Jan-21,0.82,0.82,0.82,0.82,83136187952,20476643662
24-Jan-21,0.82,0.82,0.82,0.82,69336012130,20413610462
23-Jan-21,0.82,0.82,0.82,0.82,66304300197,20362352799
22-Jan-21,0.82,0.82,0.82,0.82,99876055316,20346896663
21-Jan-21,0.83,0.83,0.82,0.83,103715787749,20490619678
20-Jan-21,0.82,0.82,0.82,0.82,95519956117,20410797351
19-Jan-21,0.83,0.83,0.83,0.83,85871837668,20169619616
18-Jan-21,0.83,0.83,0.83,0.83,67144357422,20196706557
17-Jan-21,0.83,0.83,0.83,0.83,75444339876,20145872775
16-Jan-21,0.83,0.83,0.83,0.83,84112381302,20112479852
15-Jan-21,0.82,0.82,0.82,0.82,92327464647,19947673088
14-Jan-21,0.82,0.82,0.82,0.82,80232061977,19928206830
13-Jan-21,0.82,0.82,0.82,0.82,80423776102,19845529425
12-Jan-21,0.82,0.82,0.82,0.82,96639321071,19936776564
11-Jan-21,0.82,0.82,0.82,0.82,148254556064,19916682276
10-Jan-21,0.82,0.82,0.82,0.82,110787729752,19819819292
09-Jan-21,0.82,0.82,0.82,0.82,84492639975,19410675236
08-Jan-21,0.82,0.82,0.81,0.82,107252050260,19124135023
07-Jan-21,0.81,0.81,0.81,0.81,104963527512,18529729387
06-Jan-21,0.81,0.82,0.81,0.81,94401141181,18013151370
05-Jan-21,0.82,0.82,0.82,0.82,83192883936,17847009735
04-Jan-21,0.82,0.82,0.82,0.82,102835678374,17814762873
03-Jan-21,0.82,0.83,0.82,0.82,99238346970,17585588283
