Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,19.89,21.45,14.61,16.92,207503129,1779389063
20-May-21,15.02,23.08,15.02,20.01,460108759,2104367904
19-May-21,22.63,22.93,11.73,15.09,236335060,1586973332
18-May-21,22.21,23.96,22.02,22.76,114602150,2392730239
17-May-21,25.08,25.08,21.66,22.24,135277079,2338441195
16-May-21,25.68,27.61,23.59,25.09,132932638,2637142279
15-May-21,27.48,29.05,25.41,25.70,184340759,2700963659
14-May-21,26.37,28.32,25.40,27.57,151879239,2898015496
13-May-21,26.41,28.37,24.32,26.37,231269746,2771259455
12-May-21,27.32,31.86,25.55,25.55,440967305,2685416812
11-May-21,25.45,29.99,24.07,27.42,353307620,2881384232
10-May-21,25.97,31.26,24.13,25.36,426464825,2664046082
09-May-21,26.63,26.72,24.42,26.00,217044307,2731735361
08-May-21,26.69,29.30,25.92,26.62,215889680,2796815122
07-May-21,28.34,29.37,26.20,26.92,258210569,2827584172
06-May-21,29.88,33.74,27.54,28.32,527819136,2974515377
05-May-21,29.29,32.37,28.23,29.88,597239263,3138200687
04-May-21,27.12,34.27,25.00,29.16,1284633342,3061882162
03-May-21,19.79,30.67,19.73,26.90,1062599929,2824765421
02-May-21,18.70,20.59,17.61,19.70,217044813,2068399098
01-May-21,19.36,19.51,18.29,18.76,142739392,1969396219
30-Apr-21,18.89,20.12,17.72,19.18,300906719,2013086394
29-Apr-21,15.69,19.44,14.83,18.58,393586005,1950281527
28-Apr-21,17.08,17.83,15.13,15.74,190531438,1651748685
27-Apr-21,15.32,17.77,14.87,17.13,438666573,1797951793
26-Apr-21,10.70,16.48,10.61,15.23,488925699,1598064279
25-Apr-21,10.88,11.56,10.20,10.66,73834048,1118291862
24-Apr-21,12.09,12.09,10.81,10.85,97298469,1138907115
23-Apr-21,10.57,13.12,9.25,12.15,315596730,1275214624
22-Apr-21,12.03,12.30,10.49,10.55,109497516,1106713285
21-Apr-21,11.24,13.28,11.01,12.03,268782047,1261863541
20-Apr-21,10.29,11.64,9.36,11.22,160326916,1176977614
19-Apr-21,11.36,11.70,10.20,10.37,78929160,1088097489
18-Apr-21,13.16,13.25,10.02,11.34,142197292,1188807403
17-Apr-21,13.78,13.92,13.02,13.15,87417887,1378840004
16-Apr-21,13.36,14.24,12.85,13.83,171550974,1450214294
15-Apr-21,12.74,14.30,12.49,13.39,168649525,1403511142
14-Apr-21,13.22,13.30,12.21,12.79,97881800,1340840633
13-Apr-21,12.75,13.53,12.70,13.26,115371097,1390328861
12-Apr-21,13.15,13.46,12.48,12.77,102555707,1338139017
11-Apr-21,13.73,13.78,12.80,13.15,142929735,1378206929
10-Apr-21,14.12,15.23,13.41,13.73,317716775,1438897423
09-Apr-21,11.50,16.75,11.46,14.15,815183657,1482583813
08-Apr-21,10.21,11.74,10.14,11.54,95002497,1209114530
07-Apr-21,11.34,12.05,10.08,10.18,142516540,1067058645
06-Apr-21,10.85,11.55,10.46,11.40,148915025,1193921171
05-Apr-21,10.60,11.35,10.27,10.90,106980243,1142222750
04-Apr-21,10.10,10.67,10.02,10.59,59891536,1109779643
03-Apr-21,11.38,11.42,10.10,10.11,83993887,1059530613
02-Apr-21,10.26,11.75,10.05,11.35,154281451,1188517705
01-Apr-21,10.33,10.50,10.03,10.31,82606919,1080122188
31-Mar-21,10.60,10.60,9.88,10.34,100711353,1082637581
30-Mar-21,10.59,11.08,10.42,10.57,108151823,1106572889
29-Mar-21,10.10,10.64,9.96,10.56,105434144,1105174482
28-Mar-21,10.09,10.38,9.88,10.09,82626594,1056352754
27-Mar-21,10.45,10.62,9.84,10.09,100031131,1056651562
26-Mar-21,8.98,11.22,8.98,10.46,225261876,1095059778
25-Mar-21,9.42,9.93,8.90,8.96,149430161,937366388
24-Mar-21,9.61,11.59,9.32,9.43,336242944,986450619
23-Mar-21,8.40,10.83,8.34,9.55,292742541,999167520
22-Mar-21,8.41,9.37,8.28,8.44,128966975,883556578
21-Mar-21,8.55,8.62,8.09,8.37,56254205,875508328
20-Mar-21,8.60,8.98,8.54,8.54,75067240,893682639
19-Mar-21,8.68,8.91,8.53,8.62,67505526,902080050
18-Mar-21,8.50,9.00,8.45,8.64,91324177,904066132
17-Mar-21,8.28,8.58,8.20,8.56,72511962,895444742
16-Mar-21,8.07,8.44,7.79,8.27,73248919,864743701
15-Mar-21,8.21,8.43,7.82,8.05,69939369,841884610
14-Mar-21,8.52,8.53,8.18,8.23,58509646,860193802
13-Mar-21,8.28,8.56,7.97,8.52,70643064,890859757
12-Mar-21,8.38,8.48,8.05,8.26,63655453,863592130
11-Mar-21,8.60,8.64,8.23,8.41,70076976,879552957
10-Mar-21,9.02,9.11,8.48,8.63,71944928,902347978
09-Mar-21,8.48,9.08,8.39,9.05,74596678,945641307
08-Mar-21,8.49,8.54,8.19,8.42,58775287,880460363
07-Mar-21,8.38,8.56,8.26,8.49,57969747,887553154
06-Mar-21,8.32,8.66,8.16,8.39,73863971,876494122
05-Mar-21,7.90,8.79,7.53,8.29,98269533,866600476
04-Mar-21,8.19,8.43,7.59,7.85,72927587,820452472
03-Mar-21,7.80,8.32,7.75,8.18,81031546,854680427
02-Mar-21,7.90,8.23,7.57,7.82,65371080,816730174
01-Mar-21,7.35,7.96,7.35,7.88,65109915,822765354
28-Feb-21,7.98,7.98,6.96,7.36,65682975,768372707
27-Feb-21,7.90,8.27,7.80,7.98,73850064,833519601
26-Feb-21,7.90,8.15,7.42,7.83,71358892,818252173
25-Feb-21,8.08,9.33,7.88,7.89,112987568,823743543
24-Feb-21,7.68,8.83,7.35,8.09,108787371,844611795
23-Feb-21,8.75,8.78,6.58,7.67,172359607,800420486
22-Feb-21,10.25,10.26,7.85,8.78,143531294,916457028
21-Feb-21,10.17,10.62,10.07,10.26,114060023,1070931540
20-Feb-21,10.41,10.99,9.78,10.18,139922108,1062561040
19-Feb-21,10.26,10.99,9.80,10.43,151773158,1089140875
18-Feb-21,9.51,11.04,9.43,10.31,184922240,1076029659
17-Feb-21,9.16,9.55,8.24,9.47,129225837,987958139
16-Feb-21,9.02,9.47,8.45,9.13,121377947,952365344
15-Feb-21,9.77,10.18,8.18,9.03,201017611,942390752
14-Feb-21,9.24,10.95,8.62,9.80,322721865,1022325127
13-Feb-21,8.81,9.60,8.55,9.25,152176106,965099103
12-Feb-21,8.50,9.22,8.07,8.80,127224121,917810368
11-Feb-21,7.91,9.15,7.83,8.52,174436917,888392926
10-Feb-21,7.96,8.65,7.47,7.92,224005551,826530727
09-Feb-21,6.89,9.18,6.85,8.01,281091897,835546037
08-Feb-21,6.69,7.02,6.47,6.89,111387483,718930747
07-Feb-21,6.77,6.94,6.35,6.70,95800087,698133350
06-Feb-21,7.30,7.32,6.39,6.77,129767153,706305926
05-Feb-21,6.00,7.41,5.98,7.38,210818792,769763465
04-Feb-21,6.00,6.40,5.61,5.97,121370475,621853715
03-Feb-21,5.74,6.12,5.70,6.00,88975721,624981808
02-Feb-21,5.80,5.87,5.66,5.73,61864194,597201158
01-Feb-21,5.38,5.89,5.28,5.77,87496435,601539812
31-Jan-21,5.52,5.69,5.34,5.37,85823733,559437999
30-Jan-21,5.34,5.64,5.16,5.52,75965255,575158111
29-Jan-21,5.24,5.55,5.08,5.35,81293534,556939843
28-Jan-21,5.01,5.39,4.95,5.19,61248243,540559874
27-Jan-21,5.60,5.61,4.94,4.98,57095008,519183877
26-Jan-21,5.52,5.68,5.33,5.61,65875872,584133231
25-Jan-21,5.75,6.00,5.51,5.52,84861585,575097823
24-Jan-21,5.42,6.02,5.38,5.75,119488653,599137466
23-Jan-21,5.26,5.64,5.23,5.42,75288513,564321564
22-Jan-21,4.93,5.45,4.53,5.26,79749537,547853189
21-Jan-21,5.97,5.98,4.95,4.96,81924854,516400794
20-Jan-21,5.87,6.00,5.38,5.96,102690903,620130447
19-Jan-21,6.45,6.50,5.88,5.89,115952288,613526457
18-Jan-21,6.11,6.76,6.07,6.46,187922323,672707999
17-Jan-21,5.49,6.77,5.22,6.11,234454570,635614139
16-Jan-21,5.26,5.71,5.16,5.49,123631922,571740398
15-Jan-21,5.26,5.58,4.88,5.23,124158100,544297328
14-Jan-21,5.22,5.61,4.95,5.25,122697833,546285839
13-Jan-21,4.92,5.30,4.79,5.19,104323244,540330071
12-Jan-21,4.61,5.40,4.47,4.94,136581382,514025925
11-Jan-21,5.34,5.35,4.13,4.60,134619922,478283654
10-Jan-21,5.05,5.65,4.86,5.33,177518563,554016038
