Date,Open,High,Low,Close,Volume
21-May-21,0.91,0.94,0.69,0.8,305762203
20-May-21,0.77,0.92,0.69,0.91,411520467
19-May-21,1.12,1.13,0.64,0.77,609816399
18-May-21,1.06,1.15,1.04,1.12,233323592
17-May-21,1.15,1.16,1.04,1.06,493112884
16-May-21,1.14,1.27,1.10,1.15,639836826
15-May-21,1.22,1.26,1.13,1.14,703393796
14-May-21,1.12,1.23,1.10,1.22,522424805
13-May-21,1.05,1.20,1.01,1.12,600998644
12-May-21,1.21,1.23,1.03,1.03,264957944
11-May-21,1.13,1.22,1.09,1.22,237102581
10-May-21,1.24,1.28,1.08,1.13,275292449
09-May-21,1.25,1.26,1.18,1.24,229451192
08-May-21,1.30,1.33,1.23,1.25,238599361
07-May-21,1.28,1.40,1.22,1.31,474804088
06-May-21,1.20,1.31,1.18,1.28,430883409
05-May-21,1.06,1.21,1.05,1.20,229433598
04-May-21,1.19,1.20,1.06,1.06,265099295
03-May-21,1.15,1.23,1.15,1.19,199789083
02-May-21,1.16,1.17,1.11,1.15,176582643
01-May-21,1.17,1.18,1.12,1.16,167597429
30-Apr-21,1.09,1.19,1.07,1.16,270166701
29-Apr-21,1.06,1.14,1.03,1.09,283158560
28-Apr-21,1.08,1.11,1.00,1.07,209764297
27-Apr-21,1.02,1.10,1.01,1.08,247637429
26-Apr-21,0.91,1.03,0.9,1.02,237953472
25-Apr-21,0.9,0.99,0.87,0.9,195760514
24-Apr-21,0.96,0.97,0.89,0.9,162464460
23-Apr-21,0.97,0.99,0.77,0.97,511734668
22-Apr-21,1.00,1.10,0.95,0.97,366093093
21-Apr-21,1.07,1.12,0.99,1.01,390248625
20-Apr-21,1.07,1.12,0.97,1.07,420042396
19-Apr-21,1.22,1.26,1.07,1.08,380817574
18-Apr-21,1.43,1.45,1.05,1.21,722484276
17-Apr-21,1.26,1.52,1.26,1.42,786089685
16-Apr-21,1.31,1.34,1.18,1.26,338473500
15-Apr-21,1.22,1.36,1.21,1.31,351639865
14-Apr-21,1.27,1.28,1.16,1.23,316105228
13-Apr-21,1.24,1.30,1.20,1.27,331986968
12-Apr-21,1.28,1.34,1.21,1.25,370621230
11-Apr-21,1.17,1.30,1.15,1.28,316951140
10-Apr-21,1.17,1.24,1.14,1.17,281941234
09-Apr-21,1.13,1.20,1.11,1.17,236253687
08-Apr-21,1.10,1.16,1.09,1.14,213033747
07-Apr-21,1.18,1.25,1.06,1.10,459377643
06-Apr-21,1.19,1.26,1.15,1.19,373269106
05-Apr-21,1.12,1.21,1.09,1.19,309278076
04-Apr-21,1.08,1.15,1.06,1.12,220389096
03-Apr-21,1.16,1.25,1.08,1.08,389067121
02-Apr-21,1.13,1.16,1.11,1.16,217355188
01-Apr-21,1.17,1.19,1.11,1.13,266367538
31-Mar-21,1.13,1.17,1.07,1.17,315365392
30-Mar-21,1.19,1.21,1.11,1.13,355712733
29-Mar-21,1.05,1.23,1.03,1.19,479510866
28-Mar-21,0.98,1.08,0.97,1.05,312304356
27-Mar-21,0.95,1.03,0.93,0.98,297434023
26-Mar-21,0.89,0.96,0.89,0.95,173585144
25-Mar-21,0.87,0.91,0.84,0.88,314888844
24-Mar-21,0.94,1.00,0.85,0.87,300293315
23-Mar-21,0.93,0.97,0.9,0.93,255521298
22-Mar-21,0.99,1.03,0.92,0.93,241632358
21-Mar-21,1.01,1.03,0.97,0.99,232833995
20-Mar-21,1.05,1.10,1.01,1.01,238103106
19-Mar-21,1.06,1.10,1.02,1.05,248236580
18-Mar-21,1.08,1.15,1.04,1.05,502993920
17-Mar-21,1.01,1.09,0.97,1.09,372520578
16-Mar-21,1.00,1.04,0.95,1.01,530654724
15-Mar-21,0.94,1.12,0.93,1.00,1016721712
14-Mar-21,0.95,0.98,0.91,0.95,338607773
13-Mar-21,0.88,0.98,0.85,0.95,355184232
12-Mar-21,0.9,0.96,0.86,0.88,379927369
11-Mar-21,0.93,0.94,0.88,0.91,278085836
10-Mar-21,0.99,1.03,0.91,0.93,369802116
09-Mar-21,0.97,1.00,0.94,1.00,341298334
08-Mar-21,0.93,0.98,0.89,0.97,318629528
07-Mar-21,0.88,0.95,0.88,0.93,267930486
06-Mar-21,0.89,0.9,0.85,0.88,226129834
05-Mar-21,0.91,0.91,0.84,0.88,347328523
04-Mar-21,0.98,1.04,0.87,0.91,463442431
03-Mar-21,0.89,1.01,0.88,0.98,528524307
02-Mar-21,0.9,0.97,0.87,0.9,458906396
01-Mar-21,0.84,0.91,0.84,0.9,352308677
28-Feb-21,0.91,0.93,0.79,0.84,495386179
27-Feb-21,0.81,0.98,0.81,0.91,452937018
26-Feb-21,0.8,0.86,0.74,0.8,402859697
25-Feb-21,0.87,0.94,0.8,0.8,434872104
24-Feb-21,0.82,0.97,0.79,0.87,497794900
23-Feb-21,0.94,0.94,0.69,0.82,723207141
22-Feb-21,1.08,1.08,0.78,0.94,649221971
21-Feb-21,1.08,1.12,1.05,1.08,336870317
20-Feb-21,1.13,1.23,1.04,1.08,661502045
19-Feb-21,1.16,1.18,1.08,1.14,486292536
18-Feb-21,1.14,1.20,1.13,1.16,509100400
17-Feb-21,1.09,1.17,1.00,1.13,759512991
16-Feb-21,1.11,1.21,1.05,1.08,700010465
15-Feb-21,1.21,1.27,1.01,1.11,1058440649
14-Feb-21,1.38,1.39,1.17,1.21,790416384
13-Feb-21,1.42,1.48,1.14,1.38,1334455597
12-Feb-21,1.03,1.50,0.97,1.41,1729969630
11-Feb-21,0.85,1.07,0.85,1.03,1023742067
10-Feb-21,0.85,0.86,0.76,0.85,519684448
09-Feb-21,0.84,0.89,0.8,0.85,606128172
08-Feb-21,0.7,0.9,0.7,0.84,819079064
07-Feb-21,0.67,0.73,0.64,0.7,376161425
06-Feb-21,0.69,0.72,0.62,0.67,365134390
05-Feb-21,0.59,0.74,0.59,0.7,450402976
04-Feb-21,0.62,0.63,0.56,0.59,297306845
03-Feb-21,0.54,0.62,0.54,0.62,261603777
02-Feb-21,0.53,0.56,0.52,0.54,181442394
01-Feb-21,0.54,0.55,0.51,0.53,209155715
31-Jan-21,0.55,0.57,0.51,0.54,254869914
30-Jan-21,0.53,0.58,0.51,0.55,315451146
29-Jan-21,0.47,0.56,0.46,0.53,311536920
28-Jan-21,0.45,0.48,0.44,0.46,165276256
27-Jan-21,0.49,0.49,0.43,0.45,173853286
26-Jan-21,0.46,0.51,0.44,0.5,192775918
25-Jan-21,0.46,0.52,0.45,0.46,227808959
24-Jan-21,0.46,0.48,0.45,0.46,155434603
23-Jan-21,0.42,0.47,0.41,0.46,161077159
22-Jan-21,0.38,0.44,0.36,0.42,152128496
21-Jan-21,0.45,0.45,0.37,0.38,150752413
20-Jan-21,0.43,0.45,0.4,0.45,162459906
19-Jan-21,0.47,0.47,0.43,0.43,151186773
18-Jan-21,0.48,0.5,0.45,0.47,216407150
17-Jan-21,0.43,0.48,0.4,0.48,248969934
16-Jan-21,0.4,0.46,0.4,0.43,245517663
15-Jan-21,0.37,0.41,0.35,0.4,225769104
14-Jan-21,0.37,0.38,0.35,0.37,95917655
13-Jan-21,0.33,0.37,0.31,0.37,105500610
12-Jan-21,0.34,0.35,0.32,0.33,112848555
11-Jan-21,0.38,0.38,0.31,0.34,211797897
10-Jan-21,0.4,0.42,0.34,0.38,210969604
09-Jan-21,0.37,0.4,0.36,0.4,167467380
08-Jan-21,0.38,0.39,0.34,0.37,202424193
07-Jan-21,0.41,0.42,0.37,0.38,239442547
06-Jan-21,0.39,0.43,0.37,0.42,304167926
05-Jan-21,0.36,0.4,0.33,0.39,345438381
04-Jan-21,0.35,0.38,0.3,0.36,209996692
03-Jan-21,0.34,0.36,0.33,0.35,216809655
02-Jan-21,0.33,0.38,0.32,0.34,343756825
01-Jan-21,0.27,0.35,0.27,0.33,279878613
31-Dec-20,0.27,0.27,0.26,0.27,51848067
30-Dec-20,0.28,0.29,0.27,0.27,62038195
29-Dec-20,0.29,0.3,0.26,0.28,93575545
28-Dec-20,0.26,0.29,0.26,0.29,63205372
27-Dec-20,0.25,0.27,0.25,0.26,76256966
26-Dec-20,0.25,0.26,0.25,0.25,50543476
25-Dec-20,0.26,0.27,0.25,0.25,58265870
24-Dec-20,0.24,0.26,0.23,0.26,58098023
23-Dec-20,0.28,0.29,0.22,0.24,93225326
22-Dec-20,0.27,0.28,0.26,0.28,74212332
21-Dec-20,0.28,0.3,0.26,0.27,100213387
20-Dec-20,0.29,0.29,0.27,0.28,78070074
19-Dec-20,0.29,0.31,0.29,0.29,106701783
18-Dec-20,0.27,0.3,0.26,0.29,97412971
17-Dec-20,0.28,0.29,0.27,0.27,101369179
16-Dec-20,0.27,0.28,0.26,0.28,87981394
15-Dec-20,0.26,0.28,0.26,0.27,63926762
14-Dec-20,0.25,0.26,0.25,0.26,39951863
13-Dec-20,0.26,0.26,0.25,0.26,39133682
12-Dec-20,0.24,0.26,0.24,0.26,47015005
11-Dec-20,0.24,0.24,0.23,0.24,39866686
10-Dec-20,0.25,0.25,0.24,0.24,34448860
09-Dec-20,0.25,0.25,0.24,0.25,55406463
08-Dec-20,0.27,0.27,0.24,0.25,66345490
07-Dec-20,0.28,0.28,0.27,0.27,43089157
06-Dec-20,0.28,0.29,0.27,0.28,62291991
