Date,Open,High,Low,Close,Volume
21-May-21,0.82,0.82,0.82,0.82,981628622
20-May-21,0.82,0.83,0.82,0.82,1177281783
19-May-21,0.82,0.83,0.81,0.82,2005889366
18-May-21,0.82,0.82,0.82,0.82,495684000
17-May-21,0.82,0.83,0.82,0.82,812578417
16-May-21,0.82,0.83,0.82,0.82,770169736
15-May-21,0.82,0.82,0.82,0.82,454650182
14-May-21,0.83,0.83,0.83,0.83,558142606
13-May-21,0.83,0.83,0.83,0.83,1025908447
12-May-21,0.82,0.83,0.82,0.82,645892785
11-May-21,0.82,0.82,0.82,0.82,443628564
10-May-21,0.82,0.83,0.82,0.82,609120793
09-May-21,0.82,0.82,0.82,0.82,406373350
08-May-21,0.82,0.82,0.82,0.82,419740086
07-May-21,0.83,0.83,0.83,0.83,339875785
06-May-21,0.83,0.83,0.83,0.83,376149211
05-May-21,0.83,0.83,0.83,0.83,421381637
04-May-21,0.83,0.83,0.83,0.83,661300588
03-May-21,0.83,0.84,0.83,0.83,567074772
02-May-21,0.83,0.84,0.83,0.83,269210054
01-May-21,0.83,0.83,0.83,0.83,342940382
30-Apr-21,0.82,0.83,0.82,0.82,273593105
29-Apr-21,0.82,0.82,0.82,0.82,352560614
28-Apr-21,0.83,0.83,0.83,0.83,377458860
27-Apr-21,0.83,0.83,0.83,0.83,296126754
26-Apr-21,0.83,0.83,0.82,0.83,402533007
25-Apr-21,0.83,0.83,0.83,0.83,347888889
24-Apr-21,0.83,0.83,0.83,0.83,382841424
23-Apr-21,0.83,0.83,0.83,0.83,738618141
22-Apr-21,0.83,0.83,0.83,0.83,615689796
21-Apr-21,0.83,0.83,0.83,0.83,450180376
20-Apr-21,0.83,0.83,0.82,0.83,418850895
19-Apr-21,0.84,0.84,0.83,0.83,461603693
18-Apr-21,0.84,0.86,0.83,0.83,664782188
17-Apr-21,0.84,0.84,0.83,0.84,289830556
16-Apr-21,0.84,0.84,0.84,0.84,366340796
15-Apr-21,0.84,0.84,0.84,0.84,314959638
14-Apr-21,0.84,0.84,0.84,0.84,402588615
13-Apr-21,0.84,0.84,0.84,0.84,311327735
12-Apr-21,0.84,0.84,0.84,0.84,228189167
11-Apr-21,0.84,0.84,0.84,0.84,201201542
10-Apr-21,0.84,0.84,0.84,0.84,255470019
09-Apr-21,0.84,0.84,0.84,0.84,200064386
08-Apr-21,0.84,0.85,0.84,0.85,231455584
07-Apr-21,0.84,0.85,0.84,0.84,341031927
06-Apr-21,0.85,0.85,0.85,0.85,297358080
05-Apr-21,0.86,0.86,0.85,0.85,317205780
04-Apr-21,0.85,0.86,0.85,0.86,268942541
03-Apr-21,0.85,0.86,0.85,0.85,364072850
02-Apr-21,0.85,0.86,0.85,0.85,327538511
01-Apr-21,0.86,0.86,0.85,0.86,288008050
31-Mar-21,0.86,0.86,0.85,0.86,277012123
30-Mar-21,0.85,0.85,0.85,0.85,207280701
29-Mar-21,0.85,0.87,0.85,0.85,250352472
28-Mar-21,0.85,0.85,0.85,0.85,218391146
27-Mar-21,0.85,0.85,0.85,0.85,212995534
26-Mar-21,0.85,0.85,0.85,0.85,205541438
25-Mar-21,0.85,0.85,0.85,0.85,239387022
24-Mar-21,0.85,0.85,0.84,0.85,259438674
23-Mar-21,0.84,0.84,0.84,0.84,242902421
22-Mar-21,0.84,0.85,0.84,0.84,254923969
21-Mar-21,0.84,0.84,0.84,0.84,171649570
20-Mar-21,0.84,0.84,0.84,0.84,152362076
19-Mar-21,0.84,0.84,0.84,0.84,168891909
18-Mar-21,0.84,0.84,0.82,0.84,165823221
17-Mar-21,0.84,0.85,0.84,0.84,183082069
16-Mar-21,0.84,0.84,0.84,0.84,235903516
15-Mar-21,0.84,0.84,0.84,0.84,276123178
14-Mar-21,0.84,0.84,0.84,0.84,203871787
13-Mar-21,0.84,0.84,0.84,0.84,238765096
12-Mar-21,0.84,0.84,0.83,0.84,230583738
11-Mar-21,0.84,0.84,0.84,0.84,287050151
10-Mar-21,0.84,0.84,0.84,0.84,248310691
09-Mar-21,0.84,0.85,0.84,0.84,403400508
08-Mar-21,0.84,0.84,0.84,0.84,280160734
07-Mar-21,0.84,0.84,0.84,0.84,239095312
06-Mar-21,0.84,0.84,0.84,0.84,206715752
05-Mar-21,0.84,0.84,0.84,0.84,361608881
04-Mar-21,0.83,0.83,0.83,0.83,285608842
03-Mar-21,0.83,0.83,0.83,0.83,244171546
02-Mar-21,0.83,0.83,0.83,0.83,342134200
01-Mar-21,0.83,0.83,0.83,0.83,329725368
28-Feb-21,0.83,0.84,0.83,0.83,516845220
27-Feb-21,0.83,0.83,0.83,0.83,249889248
26-Feb-21,0.82,0.82,0.82,0.82,433410748
25-Feb-21,0.82,0.82,0.82,0.82,340990225
24-Feb-21,0.82,0.82,0.82,0.82,521103894
23-Feb-21,0.82,0.84,0.82,0.82,1071627329
22-Feb-21,0.83,0.84,0.82,0.83,693348148
21-Feb-21,0.83,0.83,0.83,0.83,243326530
20-Feb-21,0.83,0.83,0.83,0.83,337939385
19-Feb-21,0.83,0.83,0.83,0.83,292441143
18-Feb-21,0.83,0.83,0.83,0.83,258006443
17-Feb-21,0.83,0.83,0.83,0.83,248001358
16-Feb-21,0.83,0.83,0.82,0.83,215984656
15-Feb-21,0.83,0.84,0.82,0.83,284892730
14-Feb-21,0.83,0.83,0.83,0.83,210306408
13-Feb-21,0.83,0.83,0.83,0.83,207859279
12-Feb-21,0.83,0.83,0.82,0.83,223855197
11-Feb-21,0.83,0.83,0.83,0.83,237750875
10-Feb-21,0.83,0.83,0.82,0.83,299137425
09-Feb-21,0.83,0.83,0.83,0.83,298030586
08-Feb-21,0.83,0.83,0.83,0.83,730421374
07-Feb-21,0.83,0.83,0.83,0.83,274231847
06-Feb-21,0.83,0.83,0.83,0.83,220079365
05-Feb-21,0.84,0.84,0.84,0.84,217892779
04-Feb-21,0.83,0.83,0.83,0.83,273755350
03-Feb-21,0.83,0.83,0.83,0.83,239184166
02-Feb-21,0.83,0.83,0.83,0.83,300206922
01-Feb-21,0.83,0.83,0.82,0.83,186601800
31-Jan-21,0.82,0.83,0.82,0.82,180864518
30-Jan-21,0.82,0.82,0.82,0.82,170615952
29-Jan-21,0.83,0.83,0.82,0.82,338569265
28-Jan-21,0.83,0.83,0.83,0.83,197264291
27-Jan-21,0.82,0.82,0.82,0.82,280146840
26-Jan-21,0.82,0.83,0.82,0.82,258484440
25-Jan-21,0.82,0.82,0.82,0.82,288573303
24-Jan-21,0.82,0.82,0.82,0.82,247981919
23-Jan-21,0.82,0.82,0.82,0.82,244510841
22-Jan-21,0.82,0.82,0.82,0.82,371926508
21-Jan-21,0.83,0.83,0.82,0.83,381740318
20-Jan-21,0.82,0.82,0.82,0.82,312120693
19-Jan-21,0.83,0.83,0.83,0.83,386231862
18-Jan-21,0.83,0.83,0.83,0.83,195202379
17-Jan-21,0.83,0.83,0.83,0.83,206811063
16-Jan-21,0.83,0.83,0.83,0.83,265820885
15-Jan-21,0.82,0.83,0.82,0.82,338568521
14-Jan-21,0.82,0.82,0.82,0.82,328393963
13-Jan-21,0.82,0.82,0.82,0.82,272996414
12-Jan-21,0.82,0.82,0.82,0.82,369061561
11-Jan-21,0.82,0.83,0.82,0.82,786317657
10-Jan-21,0.82,0.82,0.82,0.82,377445952
09-Jan-21,0.82,0.82,0.82,0.82,349097734
08-Jan-21,0.82,0.82,0.81,0.82,467588625
07-Jan-21,0.81,0.81,0.81,0.81,411810049
06-Jan-21,0.82,0.82,0.81,0.81,365147862
05-Jan-21,0.82,0.82,0.82,0.82,391701858
04-Jan-21,0.82,0.82,0.82,0.82,521879667
03-Jan-21,0.82,0.83,0.82,0.83,442767234
02-Jan-21,0.83,0.83,0.82,0.82,485238353
01-Jan-21,0.82,0.82,0.82,0.82,227705386
31-Dec-20,0.82,0.82,0.81,0.82,232838097
30-Dec-20,0.82,0.82,0.82,0.82,248797001
29-Dec-20,0.82,0.82,0.82,0.82,204037360
28-Dec-20,0.82,0.82,0.82,0.82,195665751
27-Dec-20,0.82,0.82,0.82,0.82,209646838
26-Dec-20,0.82,0.82,0.82,0.82,137067226
25-Dec-20,0.82,0.82,0.82,0.82,122943791
24-Dec-20,0.82,0.82,0.82,0.82,159066733
23-Dec-20,0.82,0.82,0.82,0.82,162469207
22-Dec-20,0.82,0.82,0.82,0.82,149911820
21-Dec-20,0.82,0.82,0.82,0.82,150729769
20-Dec-20,0.82,0.82,0.82,0.82,100264679
19-Dec-20,0.82,0.82,0.82,0.82,118261988
18-Dec-20,0.82,0.82,0.82,0.82,140746010
17-Dec-20,0.82,0.82,0.82,0.82,528484825
16-Dec-20,0.82,0.83,0.82,0.82,119344080
15-Dec-20,0.82,0.83,0.82,0.82,99868031
14-Dec-20,0.83,0.83,0.83,0.83,87738715
13-Dec-20,0.83,0.83,0.83,0.83,79802942
12-Dec-20,0.83,0.83,0.82,0.83,112112714
11-Dec-20,0.83,0.83,0.83,0.83,90578711
10-Dec-20,0.83,0.83,0.83,0.83,105118914
09-Dec-20,0.83,0.83,0.83,0.83,125160796
08-Dec-20,0.83,0.83,0.83,0.83,113626316
07-Dec-20,0.83,0.83,0.83,0.83,92317768
06-Dec-20,0.83,0.83,0.83,0.83,99474498
05-Dec-20,0.83,0.83,0.83,0.83,83489612
04-Dec-20,0.83,0.83,0.83,0.83,94021591
03-Dec-20,0.83,0.83,0.83,0.83,75760112
02-Dec-20,0.83,0.83,0.83,0.83,87576835
