Date,Open,High,Low,Close,Volume
21-May-21,0.82,0.82,0.82,0.82,86815893
20-May-21,0.82,0.82,0.82,0.82,96016503
19-May-21,0.82,0.82,0.82,0.82,136488839
18-May-21,0.82,0.82,0.82,0.82,89277219
17-May-21,0.82,0.82,0.82,0.82,130893829
16-May-21,0.82,0.83,0.82,0.82,164266089
15-May-21,0.82,0.82,0.82,0.82,162833756
14-May-21,0.83,0.83,0.83,0.83,117710117
13-May-21,0.83,0.83,0.83,0.83,105307140
12-May-21,0.82,0.82,0.82,0.82,103784696
11-May-21,0.82,0.82,0.82,0.82,91824834
10-May-21,0.82,0.82,0.82,0.82,88489191
09-May-21,0.82,0.82,0.82,0.82,83860562
08-May-21,0.82,0.82,0.82,0.82,104284023
07-May-21,0.83,0.83,0.83,0.83,70561331
06-May-21,0.83,0.83,0.83,0.83,72789265
05-May-21,0.83,0.83,0.83,0.83,82581689
04-May-21,0.83,0.83,0.83,0.83,82326233
03-May-21,0.83,0.83,0.83,0.83,73320466
02-May-21,0.83,0.83,0.83,0.83,52915949
01-May-21,0.83,0.83,0.83,0.83,59574740
30-Apr-21,0.82,0.82,0.82,0.82,70384144
29-Apr-21,0.82,0.82,0.82,0.82,56458508
28-Apr-21,0.83,0.83,0.83,0.83,53596186
27-Apr-21,0.83,0.83,0.83,0.83,58958771
26-Apr-21,0.83,0.83,0.83,0.83,65277724
25-Apr-21,0.83,0.83,0.82,0.83,47717748
24-Apr-21,0.83,0.83,0.83,0.83,45270728
23-Apr-21,0.83,0.83,0.83,0.83,67038879
22-Apr-21,0.83,0.83,0.83,0.83,83684244
21-Apr-21,0.83,0.83,0.83,0.83,60143718
20-Apr-21,0.83,0.84,0.82,0.83,88456249
19-Apr-21,0.83,0.84,0.83,0.83,69070383
18-Apr-21,0.84,0.86,0.83,0.83,102240416
17-Apr-21,0.84,0.84,0.83,0.84,69373432
16-Apr-21,0.84,0.84,0.83,0.84,88382442
15-Apr-21,0.84,0.84,0.83,0.83,72911538
14-Apr-21,0.84,0.84,0.84,0.84,82650719
13-Apr-21,0.84,0.84,0.84,0.84,92745101
12-Apr-21,0.84,0.84,0.84,0.84,62122556
11-Apr-21,0.84,0.84,0.84,0.84,57933348
10-Apr-21,0.84,0.84,0.84,0.84,57035812
09-Apr-21,0.84,0.84,0.84,0.84,57884724
08-Apr-21,0.84,0.85,0.84,0.84,45447583
07-Apr-21,0.84,0.84,0.84,0.84,78126898
06-Apr-21,0.85,0.85,0.85,0.85,51952777
05-Apr-21,0.85,0.86,0.85,0.85,62502616
04-Apr-21,0.85,0.86,0.85,0.85,39433121
03-Apr-21,0.85,0.86,0.85,0.85,63890931
02-Apr-21,0.85,0.85,0.85,0.85,54993274
01-Apr-21,0.85,0.86,0.85,0.86,52106356
31-Mar-21,0.86,0.86,0.85,0.85,76922626
30-Mar-21,0.85,0.85,0.85,0.85,49579058
29-Mar-21,0.85,0.85,0.85,0.85,67707655
28-Mar-21,0.85,0.85,0.85,0.85,33290573
