Date,Open,High,Low,Close,Volume
21-May-21,0.01,0.02,0.01,0.01,2895144
20-May-21,0.01,0.02,0.01,0.01,3999304
19-May-21,0.02,0.02,0.01,0.01,4946089
18-May-21,0.02,0.02,0.02,0.02,5117207
17-May-21,0.03,0.03,0.02,0.02,7983338
16-May-21,0.02,0.03,0.02,0.03,7955600
15-May-21,0.02,0.02,0.02,0.02,4936156
14-May-21,0.02,0.02,0.02,0.02,6065781
13-May-21,0.02,0.03,0.02,0.02,6293818
12-May-21,0.04,0.04,0.02,0.02,11663541
11-May-21,0.03,0.05,0.02,0.04,35206715
10-May-21,0.01,0.03,0.01,0.03,17154589
09-May-21,0.01,0.01,0.01,0.01,5721641
08-May-21,0.01,0.01,0.01,0.01,5613267
07-May-21,0.01,0.01,0.01,0.01,5802934
06-May-21,0.01,0.01,0.01,0.01,6000449
05-May-21,0.01,0.01,0.01,0.01,5903661
04-May-21,0.01,0.01,0.01,0.01,5815526
03-May-21,0.01,0.01,0.01,0.01,4422899
02-May-21,0.01,0.01,0.01,0.01,4639812
01-May-21,0.01,0.01,0.01,0.01,4401299
30-Apr-21,0.01,0.01,0.01,0.01,5118490
29-Apr-21,0.01,0.01,0.01,0.01,4718349
28-Apr-21,0.01,0.01,0.01,0.01,4644860
27-Apr-21,0.01,0.01,0.01,0.01,5062127
26-Apr-21,0.01,0.01,0.01,0.01,4356484
25-Apr-21,0.01,0.01,0.01,0.01,4120384
24-Apr-21,0.01,0.01,0.01,0.01,4970986
23-Apr-21,0.01,0.01,0.01,0.01,4571747
22-Apr-21,0.01,0.01,0.01,0.01,4449292
21-Apr-21,0.01,0.01,0.01,0.01,4728562
20-Apr-21,0.01,0.01,0.01,0.01,4785490
19-Apr-21,0.01,0.01,0.01,0.01,4731638
18-Apr-21,0.01,0.01,0.01,0.01,3797478
17-Apr-21,0.01,0.01,0.01,0.01,3765981
16-Apr-21,0.01,0.01,0.01,0.01,4442909
15-Apr-21,0.01,0.01,0.01,0.01,5002710
14-Apr-21,0.01,0.01,0.01,0.01,5013668
13-Apr-21,0.01,0.01,0.01,0.01,4795763
12-Apr-21,0.01,0.01,0.01,0.01,4319789
11-Apr-21,0.01,0.01,0.01,0.01,4423737
10-Apr-21,0.01,0.01,0.01,0.01,4570827
09-Apr-21,0.01,0.01,0.01,0.01,4785547
08-Apr-21,0.01,0.01,0.01,0.01,4319665
07-Apr-21,0.01,0.01,0.01,0.01,4152950
06-Apr-21,0.01,0.01,0.01,0.01,3984824
05-Apr-21,0.01,0.01,0.01,0.01,4554504
04-Apr-21,0.01,0.01,0.01,0.01,5168750
03-Apr-21,0.01,0.01,0.01,0.01,4594119
02-Apr-21,0.01,0.01,0.01,0.01,4276706
01-Apr-21,0.01,0.01,0.01,0.01,3589581
31-Mar-21,0.01,0.01,0.01,0.01,4578524
30-Mar-21,0.01,0.01,0.01,0.01,4296636
29-Mar-21,0.01,0.01,0.01,0.01,5307720
28-Mar-21,0.01,0.01,0.01,0.01,5542499
27-Mar-21,0.01,0.01,0.01,0.01,4630833
26-Mar-21,0.01,0.01,0.01,0.01,5540477
25-Mar-21,0.01,0.01,0.01,0.01,5410813
24-Mar-21,0.01,0.01,0.01,0.01,5523152
23-Mar-21,0.01,0.01,0.01,0.01,4113004
22-Mar-21,0.01,0.01,0.01,0.01,4029495
21-Mar-21,0.01,0.01,0.01,0.01,3943491
20-Mar-21,0.01,0.01,0.01,0.01,4796771
19-Mar-21,0.01,0.01,0.01,0.01,5068164
18-Mar-21,0.01,0.01,0.01,0.01,4230622
17-Mar-21,0.01,0.01,0.01,0.01,4017984
16-Mar-21,0.01,0.01,0.01,0.01,4034647
15-Mar-21,0.01,0.01,0.01,0.01,4321666
14-Mar-21,0.01,0.01,0.01,0.01,4812995
13-Mar-21,0.01,0.01,0.01,0.01,5316369
12-Mar-21,0.01,0.01,0.01,0.01,5119353
11-Mar-21,0.01,0.01,0.01,0.01,4852275
10-Mar-21,0.01,0.01,0.01,0.01,4315700
09-Mar-21,0.01,0.01,0.01,0.01,3945296
08-Mar-21,0.01,0.01,0.01,0.01,4271949
07-Mar-21,0.01,0.01,0.01,0.01,2798601
06-Mar-21,0.01,0.01,0.01,0.01,3846534
05-Mar-21,0.01,0.01,0.01,0.01,3685752
04-Mar-21,0.01,0.01,0.01,0.01,3214524
03-Mar-21,0.01,0.01,0.01,0.01,3496511
02-Mar-21,0.01,0.01,0.01,0.01,4043136
01-Mar-21,0.01,0.01,0.01,0.01,4579495
28-Feb-21,0.01,0.01,0.01,0.01,4370126
27-Feb-21,0.01,0.01,0.01,0.01,4712157
26-Feb-21,0.01,0.01,0.01,0.01,3829993
25-Feb-21,0.01,0.01,0.01,0.01,4017225
24-Feb-21,0.01,0.01,0.01,0.01,4603909
23-Feb-21,0.01,0.01,0.01,0.01,4622538
22-Feb-21,0.01,0.01,0.01,0.01,3547747
21-Feb-21,0.01,0.01,0.01,0.01,3846177
20-Feb-21,0.01,0.01,0.01,0.01,4086941
19-Feb-21,0.01,0.01,0.01,0.01,3738564
18-Feb-21,0.01,0.01,0.01,0.01,3553364
17-Feb-21,0.01,0.01,0.01,0.01,5101134
16-Feb-21,0.01,0.01,0.01,0.01,5310271
15-Feb-21,0.01,0.01,0.01,0.01,5837661
14-Feb-21,0.01,0.01,0.01,0.01,5522696
13-Feb-21,0.01,0.01,0.01,0.01,4948274
12-Feb-21,0.01,0.01,0.01,0.01,4462382
11-Feb-21,0.01,0.01,0.01,0.01,5140292
10-Feb-21,0.01,0.01,0.01,0.01,4531859
09-Feb-21,0.01,0.01,0.01,0.01,5796934
08-Feb-21,0.01,0.01,0.01,0.01,6545494
07-Feb-21,0.01,0.01,0.01,0.01,6469139
06-Feb-21,0.01,0.01,0.01,0.01,5572717
05-Feb-21,0.01,0.01,0.01,0.01,6620804
04-Feb-21,0.01,0.01,0.01,0.01,6242431
03-Feb-21,0.01,0.01,0.01,0.01,4939520
02-Feb-21,0.01,0.01,0.01,0.01,5051571
01-Feb-21,0.01,0.01,0.01,0.01,5021447
31-Jan-21,0.01,0.01,0.01,0.01,5784352
30-Jan-21,0.01,0.01,0.01,0.01,6120703
29-Jan-21,0.01,0.01,0.01,0.01,6273011
28-Jan-21,0.01,0.01,0.01,0.01,6068560
27-Jan-21,0.01,0.01,0.01,0.01,6236518
26-Jan-21,0.01,0.01,0.01,0.01,6488406
25-Jan-21,0.01,0.01,0.01,0.01,5684810
24-Jan-21,0.01,0.01,0.01,0.01,5937489
23-Jan-21,0.01,0.01,0.01,0.01,5801987
22-Jan-21,0.01,0.01,0.01,0.01,5303053
21-Jan-21,0.01,0.01,0.01,0.01,6150159
20-Jan-21,0.01,0.01,0.01,0.01,5512536
19-Jan-21,0.01,0.01,0.01,0.01,5559618
18-Jan-21,0.01,0.01,0.01,0.01,5085286
17-Jan-21,0.01,0.01,0.01,0.01,6173526
16-Jan-21,0.01,0.01,0.01,0.01,6128120
15-Jan-21,0.01,0.01,0.01,0.01,5918574
14-Jan-21,0.01,0.01,0.01,0.01,5349770
13-Jan-21,0.01,0.01,0.01,0.01,5918511
12-Jan-21,0.01,0.01,0.01,0.01,6042469
11-Jan-21,0.01,0.01,0.01,0.01,5326270
10-Jan-21,0.01,0.01,0.01,0.01,5746769
09-Jan-21,0.01,0.01,0.01,0.01,5567754
08-Jan-21,0.01,0.01,0.01,0.01,4802910
07-Jan-21,0.01,0.01,0.01,0.01,5663924
06-Jan-21,0.01,0.01,0.01,0.01,5107284
05-Jan-21,0.01,0.01,0.01,0.01,5434891
04-Jan-21,0.01,0.01,0.01,0.01,5475738
03-Jan-21,0.01,0.01,0.01,0.01,5851165
02-Jan-21,0.01,0.01,0.01,0.01,6067953
01-Jan-21,0.01,0.01,0.01,0.01,6057690
31-Dec-20,0.01,0.01,0.01,0.01,6629439
30-Dec-20,0.01,0.01,0.01,0.01,6214575
29-Dec-20,0.01,0.01,0.01,0.01,6543187
28-Dec-20,0.01,0.01,0.01,0.01,6050093
27-Dec-20,0.01,0.01,0.01,0.01,5948680
26-Dec-20,0.01,0.01,0.01,0.01,5130785
25-Dec-20,0.01,0.01,0.01,0.01,5389701
24-Dec-20,0.01,0.01,0.01,0.01,5398470
23-Dec-20,0.01,0.01,0.01,0.01,5321147
22-Dec-20,0.01,0.01,0.01,0.01,5638885
21-Dec-20,0.01,0.01,0.01,0.01,5533447
20-Dec-20,0.01,0.01,0.01,0.01,5493600
19-Dec-20,0.01,0.01,0.01,0.01,5844417
