Date,Open,High,Low,Close,Volume
21-May-21,0.14,0.17,0.13,0.15,455912
20-May-21,0.12,0.14,0.11,0.14,285651
19-May-21,0.16,0.17,0.1,0.12,549869
18-May-21,0.17,0.17,0.16,0.17,609022
17-May-21,0.15,0.2,0.15,0.17,1514291
16-May-21,0.16,0.16,0.14,0.15,214366
15-May-21,0.16,0.17,0.16,0.16,194375
14-May-21,0.16,0.17,0.16,0.16,144763
13-May-21,0.16,0.17,0.15,0.16,282310
12-May-21,0.19,0.2,0.17,0.17,358002
11-May-21,0.17,0.19,0.17,0.19,350210
10-May-21,0.19,0.2,0.17,0.17,420506
09-May-21,0.2,0.2,0.18,0.19,427276
08-May-21,0.2,0.21,0.19,0.2,355386
07-May-21,0.19,0.2,0.19,0.2,471367
06-May-21,0.21,0.21,0.19,0.2,401250
05-May-21,0.21,0.21,0.19,0.21,994528
04-May-21,0.22,0.23,0.2,0.21,501766
03-May-21,0.22,0.24,0.22,0.22,621532
02-May-21,0.22,0.22,0.21,0.22,250048
01-May-21,0.23,0.23,0.21,0.22,221614
30-Apr-21,0.21,0.23,0.21,0.22,307482
29-Apr-21,0.22,0.22,0.2,0.21,230206
28-Apr-21,0.23,0.24,0.21,0.22,463216
27-Apr-21,0.21,0.23,0.21,0.23,375349
26-Apr-21,0.18,0.22,0.18,0.21,581068
25-Apr-21,0.17,0.2,0.17,0.18,471511
24-Apr-21,0.18,0.18,0.17,0.17,297721
23-Apr-21,0.2,0.2,0.16,0.18,713998
22-Apr-21,0.23,0.25,0.2,0.2,534874
21-Apr-21,0.22,0.24,0.22,0.23,483814
20-Apr-21,0.22,0.24,0.2,0.22,603694
19-Apr-21,0.22,0.24,0.22,0.22,592269
18-Apr-21,0.25,0.26,0.21,0.22,865322
17-Apr-21,0.26,0.27,0.25,0.25,1162225
16-Apr-21,0.28,0.31,0.25,0.26,1184420
15-Apr-21,0.26,0.28,0.25,0.27,462763
14-Apr-21,0.27,0.28,0.25,0.26,735351
13-Apr-21,0.28,0.29,0.27,0.28,445988
12-Apr-21,0.29,0.3,0.27,0.28,345312
11-Apr-21,0.29,0.31,0.27,0.29,485240
10-Apr-21,0.3,0.32,0.28,0.29,894379
09-Apr-21,0.27,0.31,0.26,0.3,1159844
08-Apr-21,0.24,0.27,0.23,0.27,1034874
07-Apr-21,0.35,0.35,0.22,0.24,1969379
06-Apr-21,0.36,0.38,0.32,0.35,20173636
05-Apr-21,0.4,0.43,0.35,0.37,26195881
04-Apr-21,0.36,0.41,0.36,0.4,22021456
03-Apr-21,0.43,0.43,0.35,0.37,25658726
02-Apr-21,0.4,0.51,0.39,0.42,128201876
01-Apr-21,0.33,0.45,0.33,0.4,129253475
31-Mar-21,0.31,0.35,0.29,0.33,40564218
30-Mar-21,0.3,0.31,0.29,0.31,15307172
29-Mar-21,0.28,0.3,0.27,0.3,20268902
28-Mar-21,0.26,0.28,0.26,0.28,12125740
27-Mar-21,0.27,0.27,0.25,0.26,8689013
26-Mar-21,0.25,0.27,0.25,0.27,8340769
25-Mar-21,0.26,0.27,0.24,0.25,17921089
24-Mar-21,0.25,0.3,0.24,0.25,45780526
23-Mar-21,0.27,0.28,0.22,0.25,17701104
22-Mar-21,0.28,0.29,0.25,0.27,17880663
21-Mar-21,0.27,0.28,0.25,0.28,15910247
20-Mar-21,0.31,0.31,0.26,0.27,26385019
19-Mar-21,0.31,0.34,0.29,0.31,45342247
18-Mar-21,0.25,0.32,0.23,0.31,86946973
17-Mar-21,0.25,0.27,0.21,0.26,32251340
16-Mar-21,0.21,0.26,0.21,0.24,533252
15-Mar-21,0.22,0.23,0.19,0.21,1439320
14-Mar-21,0.22,0.25,0.2,0.22,25967962
13-Mar-21,0.19,0.27,0.19,0.22,95929201
12-Mar-21,0.18,0.2,0.17,0.19,17982347
11-Mar-21,0.18,0.21,0.17,0.18,31147479
10-Mar-21,0.17,0.19,0.15,0.18,37432067
09-Mar-21,0.15,0.17,0.14,0.17,32582749
08-Mar-21,0.16,0.16,0.14,0.15,6130186
07-Mar-21,0.16,0.17,0.15,0.16,20120112
06-Mar-21,0.16,0.16,0.15,0.16,5214523
05-Mar-21,0.15,0.16,0.14,0.16,7437771
04-Mar-21,0.14,0.16,0.14,0.15,8630862
03-Mar-21,0.13,0.15,0.13,0.14,343103
02-Mar-21,0.13,0.14,0.12,0.13,145827
01-Mar-21,0.12,0.14,0.12,0.13,162833
28-Feb-21,0.15,0.16,0.12,0.12,184921
27-Feb-21,0.13,0.17,0.13,0.15,23632862
26-Feb-21,0.12,0.13,0.11,0.13,202598
25-Feb-21,0.12,0.14,0.11,0.12,16945998
24-Feb-21,0.11,0.13,0.11,0.12,236750
23-Feb-21,0.16,0.16,0.1,0.11,365399
22-Feb-21,0.19,0.19,0.14,0.16,11994810
21-Feb-21,0.17,0.19,0.17,0.19,7716059
20-Feb-21,0.18,0.18,0.17,0.17,9308793
19-Feb-21,0.18,0.18,0.16,0.18,7629739
18-Feb-21,0.16,0.2,0.16,0.18,15730585
17-Feb-21,0.13,0.17,0.13,0.16,26500793
16-Feb-21,0.14,0.14,0.13,0.13,205220
15-Feb-21,0.13,0.16,0.11,0.14,25056309
14-Feb-21,0.12,0.14,0.12,0.13,10542140
13-Feb-21,0.12,0.12,0.11,0.12,4841421
12-Feb-21,0.12,0.12,0.11,0.12,4175931
11-Feb-21,0.1,0.12,0.09,0.12,10926084
10-Feb-21,0.09,0.1,0.09,0.1,3859204
09-Feb-21,0.09,0.1,0.09,0.09,2512390
08-Feb-21,0.09,0.09,0.08,0.09,1963064
07-Feb-21,0.09,0.09,0.08,0.09,1334688
06-Feb-21,0.09,0.09,0.09,0.09,1864981
05-Feb-21,0.09,0.09,0.08,0.09,2502127
04-Feb-21,0.08,0.09,0.08,0.09,4257566
03-Feb-21,0.08,0.09,0.08,0.08,2587702
02-Feb-21,0.08,0.08,0.08,0.08,739114
01-Feb-21,0.08,0.08,0.08,0.08,1048489
31-Jan-21,0.08,0.08,0.08,0.08,562916
30-Jan-21,0.08,0.08,0.08,0.08,858374
29-Jan-21,0.08,0.08,0.08,0.08,850328
28-Jan-21,0.07,0.08,0.07,0.08,804736
27-Jan-21,0.08,0.08,0.07,0.07,57091
26-Jan-21,0.08,0.08,0.08,0.08,21049
25-Jan-21,0.08,0.08,0.08,0.08,106938
24-Jan-21,0.08,0.08,0.08,0.08,42983
23-Jan-21,0.08,0.08,0.08,0.08,7433
22-Jan-21,0.08,0.08,0.07,0.08,89040
21-Jan-21,0.09,0.09,0.08,0.08,72693
20-Jan-21,0.09,0.09,0.08,0.09,110269
19-Jan-21,0.09,0.09,0.08,0.09,1988194
18-Jan-21,0.08,0.09,0.08,0.09,3127219
17-Jan-21,0.09,0.09,0.08,0.08,73970
16-Jan-21,0.09,0.09,0.08,0.09,4305747
15-Jan-21,0.08,0.1,0.08,0.09,11914296
14-Jan-21,0.08,0.08,0.08,0.08,2463266
13-Jan-21,0.08,0.08,0.07,0.08,40434
