Date,Open,High,Low,Close,Volume
21-May-21,0.41,0.42,0.31,0.34,1748260227
20-May-21,0.37,0.44,0.33,0.41,2241436337
19-May-21,0.53,0.54,0.25,0.37,3450057770
18-May-21,0.53,0.58,0.52,0.53,2214647803
17-May-21,0.59,0.59,0.51,0.53,2878864725
16-May-21,0.56,0.66,0.55,0.59,4194370618
15-May-21,0.55,0.61,0.54,0.56,3400572162
14-May-21,0.54,0.59,0.53,0.55,2679651883
13-May-21,0.49,0.55,0.46,0.53,3041713278
12-May-21,0.6,0.61,0.48,0.48,2296237821
11-May-21,0.54,0.61,0.51,0.6,3707290616
10-May-21,0.52,0.64,0.51,0.54,5518900524
09-May-21,0.51,0.52,0.47,0.52,1693985187
08-May-21,0.52,0.53,0.5,0.51,1375883431
07-May-21,0.54,0.57,0.5,0.52,2500934598
06-May-21,0.5,0.57,0.5,0.54,4064688101
05-May-21,0.42,0.5,0.41,0.5,2361826899
04-May-21,0.46,0.46,0.41,0.42,1339550481
03-May-21,0.46,0.48,0.45,0.46,1176269921
02-May-21,0.45,0.47,0.43,0.47,1162013435
01-May-21,0.44,0.45,0.43,0.45,879243200
30-Apr-21,0.41,0.45,0.4,0.44,1225048312
29-Apr-21,0.41,0.42,0.39,0.41,724469654
28-Apr-21,0.42,0.43,0.39,0.41,924437781
27-Apr-21,0.4,0.43,0.39,0.42,1286690836
26-Apr-21,0.34,0.4,0.34,0.4,1306673102
25-Apr-21,0.35,0.37,0.33,0.34,935091806
24-Apr-21,0.37,0.38,0.34,0.35,1162282263
23-Apr-21,0.37,0.38,0.31,0.38,2028854024
22-Apr-21,0.41,0.43,0.37,0.37,1409340605
21-Apr-21,0.44,0.45,0.4,0.41,1232998214
20-Apr-21,0.41,0.44,0.39,0.44,1488899486
19-Apr-21,0.46,0.47,0.41,0.42,1584504768
18-Apr-21,0.5,0.51,0.39,0.45,2205788968
17-Apr-21,0.51,0.54,0.5,0.5,1458664593
16-Apr-21,0.54,0.55,0.47,0.51,1904086724
15-Apr-21,0.53,0.54,0.51,0.53,1572575991
14-Apr-21,0.55,0.58,0.49,0.53,3083091256
13-Apr-21,0.5,0.57,0.48,0.55,3660449789
12-Apr-21,0.49,0.51,0.48,0.5,2250262146
11-Apr-21,0.47,0.55,0.47,0.49,4860773873
10-Apr-21,0.41,0.5,0.41,0.47,3052527198
09-Apr-21,0.43,0.43,0.4,0.41,899748828
08-Apr-21,0.4,0.43,0.4,0.43,1334341816
07-Apr-21,0.46,0.46,0.39,0.4,2271558452
06-Apr-21,0.46,0.49,0.41,0.46,3991380033
05-Apr-21,0.37,0.47,0.37,0.46,3804326681
04-Apr-21,0.36,0.38,0.35,0.37,1031575175
03-Apr-21,0.38,0.4,0.36,0.36,1375542381
02-Apr-21,0.37,0.4,0.37,0.38,1858571528
01-Apr-21,0.35,0.37,0.35,0.37,1249721705
31-Mar-21,0.35,0.35,0.33,0.35,897989458
30-Mar-21,0.35,0.35,0.34,0.34,750308137
29-Mar-21,0.34,0.35,0.33,0.35,790879189
28-Mar-21,0.33,0.35,0.32,0.34,1120975633
27-Mar-21,0.33,0.33,0.32,0.33,607104554
26-Mar-21,0.31,0.33,0.31,0.33,768996329
25-Mar-21,0.31,0.32,0.3,0.31,902667640
24-Mar-21,0.34,0.34,0.3,0.31,824472887
23-Mar-21,0.33,0.34,0.33,0.34,924615399
22-Mar-21,0.34,0.36,0.33,0.33,1176276114
21-Mar-21,0.35,0.36,0.33,0.34,1006203419
20-Mar-21,0.33,0.37,0.33,0.35,1316824335
19-Mar-21,0.33,0.34,0.33,0.33,654310963
18-Mar-21,0.34,0.34,0.32,0.33,716040742
17-Mar-21,0.33,0.34,0.33,0.34,782608494
16-Mar-21,0.32,0.34,0.31,0.33,982834914
15-Mar-21,0.33,0.33,0.31,0.32,819709359
14-Mar-21,0.34,0.34,0.33,0.33,660042798
13-Mar-21,0.32,0.34,0.32,0.34,902310931
12-Mar-21,0.34,0.34,0.32,0.32,777779438
11-Mar-21,0.34,0.35,0.33,0.34,798177371
10-Mar-21,0.36,0.36,0.34,0.35,820251526
09-Mar-21,0.35,0.37,0.35,0.37,885052341
08-Mar-21,0.35,0.35,0.34,0.35,718775107
07-Mar-21,0.34,0.35,0.34,0.35,668205750
06-Mar-21,0.34,0.34,0.33,0.34,571382718
05-Mar-21,0.34,0.34,0.32,0.34,701859892
04-Mar-21,0.35,0.35,0.34,0.34,885871895
03-Mar-21,0.35,0.36,0.34,0.35,988919416
02-Mar-21,0.36,0.36,0.33,0.35,968984164
01-Mar-21,0.34,0.36,0.33,0.36,1150493521
28-Feb-21,0.37,0.37,0.32,0.34,1564352782
27-Feb-21,0.33,0.39,0.33,0.37,2318855153
26-Feb-21,0.31,0.33,0.29,0.33,1140202528
25-Feb-21,0.33,0.35,0.31,0.31,1085468984
24-Feb-21,0.32,0.36,0.3,0.34,1532423987
23-Feb-21,0.38,0.38,0.26,0.32,2435374566
22-Feb-21,0.41,0.43,0.33,0.39,2435874687
21-Feb-21,0.4,0.42,0.39,0.41,1395825166
20-Feb-21,0.42,0.44,0.39,0.4,1775870711
19-Feb-21,0.41,0.43,0.4,0.42,1392540644
18-Feb-21,0.41,0.43,0.4,0.41,1380912684
17-Feb-21,0.4,0.42,0.38,0.41,1537795873
16-Feb-21,0.41,0.42,0.39,0.4,1732156756
15-Feb-21,0.43,0.44,0.36,0.41,2642655159
14-Feb-21,0.46,0.47,0.41,0.43,2539977860
13-Feb-21,0.43,0.5,0.43,0.46,4553851759
12-Feb-21,0.37,0.44,0.36,0.44,3054281702
11-Feb-21,0.34,0.38,0.34,0.37,2677339636
10-Feb-21,0.33,0.36,0.32,0.34,2890059751
09-Feb-21,0.33,0.33,0.32,0.33,1508807979
08-Feb-21,0.32,0.33,0.31,0.33,2109616732
07-Feb-21,0.31,0.35,0.3,0.32,4171859925
06-Feb-21,0.29,0.33,0.28,0.31,2106731292
05-Feb-21,0.27,0.3,0.27,0.29,1794115987
04-Feb-21,0.28,0.29,0.26,0.27,1291218761
03-Feb-21,0.28,0.29,0.27,0.28,1234664598
02-Feb-21,0.27,0.29,0.26,0.28,1848062909
01-Feb-21,0.25,0.3,0.24,0.27,3061861664
31-Jan-21,0.27,0.28,0.24,0.25,1899434971
30-Jan-21,0.24,0.29,0.23,0.27,3206004027
29-Jan-21,0.25,0.3,0.24,0.24,4419687014
28-Jan-21,0.2,0.25,0.19,0.24,1215348407
27-Jan-21,0.22,0.22,0.19,0.2,550064302
26-Jan-21,0.22,0.22,0.21,0.22,552365327
25-Jan-21,0.22,0.23,0.21,0.22,586355696
24-Jan-21,0.22,0.23,0.22,0.22,662063157
23-Jan-21,0.22,0.23,0.22,0.22,719204250
22-Jan-21,0.21,0.23,0.19,0.22,1143971401
21-Jan-21,0.24,0.24,0.2,0.21,894826469
20-Jan-21,0.25,0.25,0.23,0.24,956836153
19-Jan-21,0.25,0.26,0.25,0.25,1267347183
18-Jan-21,0.25,0.25,0.24,0.25,838015119
17-Jan-21,0.24,0.26,0.24,0.25,1559764322
16-Jan-21,0.24,0.26,0.23,0.24,1305146186
15-Jan-21,0.25,0.26,0.22,0.23,1272625419
14-Jan-21,0.25,0.26,0.24,0.25,1436093843
13-Jan-21,0.23,0.25,0.23,0.25,1582615552
12-Jan-21,0.22,0.26,0.21,0.23,2427293875
11-Jan-21,0.24,0.24,0.18,0.22,2058778632
10-Jan-21,0.26,0.27,0.22,0.24,1594669843
09-Jan-21,0.25,0.27,0.23,0.26,1850919101
08-Jan-21,0.26,0.27,0.22,0.25,2975912114
07-Jan-21,0.28,0.33,0.24,0.26,5069780285
06-Jan-21,0.16,0.31,0.16,0.28,8462861227
05-Jan-21,0.13,0.17,0.12,0.16,2088390900
04-Jan-21,0.11,0.14,0.11,0.13,1348388442
03-Jan-21,0.11,0.11,0.1,0.11,572016104
02-Jan-21,0.11,0.11,0.11,0.11,381784852
01-Jan-21,0.11,0.11,0.1,0.11,403744673
31-Dec-20,0.11,0.11,0.1,0.1,393777550
30-Dec-20,0.11,0.11,0.11,0.11,453642424
29-Dec-20,0.12,0.12,0.11,0.11,623961963
28-Dec-20,0.12,0.13,0.12,0.12,474401026
27-Dec-20,0.12,0.13,0.11,0.12,622102168
26-Dec-20,0.13,0.13,0.12,0.12,436966161
25-Dec-20,0.13,0.14,0.12,0.13,709127606
24-Dec-20,0.1,0.14,0.1,0.13,1288689166
23-Dec-20,0.13,0.13,0.09,0.1,978675685
22-Dec-20,0.14,0.14,0.13,0.13,540395782
21-Dec-20,0.14,0.15,0.13,0.14,417120095
20-Dec-20,0.15,0.15,0.14,0.14,374578479
19-Dec-20,0.15,0.15,0.15,0.15,394216568
18-Dec-20,0.15,0.15,0.14,0.15,670973525
17-Dec-20,0.16,0.17,0.15,0.15,1364507748
16-Dec-20,0.14,0.16,0.13,0.16,872052269
15-Dec-20,0.14,0.15,0.14,0.14,386210854
14-Dec-20,0.14,0.15,0.14,0.14,430785824
13-Dec-20,0.13,0.15,0.13,0.14,568922009
12-Dec-20,0.12,0.14,0.12,0.13,420749628
11-Dec-20,0.13,0.14,0.12,0.12,501204835
10-Dec-20,0.14,0.15,0.13,0.13,638047737
09-Dec-20,0.13,0.14,0.12,0.14,772427385
08-Dec-20,0.14,0.14,0.12,0.13,357599089
07-Dec-20,0.14,0.15,0.14,0.14,262121156
06-Dec-20,0.14,0.15,0.14,0.14,338481734
05-Dec-20,0.13,0.15,0.13,0.14,353577358
04-Dec-20,0.15,0.15,0.13,0.13,473796937
03-Dec-20,0.15,0.16,0.15,0.15,404091124
02-Dec-20,0.15,0.16,0.15,0.15,487251543
01-Dec-20,0.17,0.17,0.15,0.15,768325947
30-Nov-20,0.16,0.17,0.16,0.17,887267458
29-Nov-20,0.17,0.17,0.16,0.16,825482146
28-Nov-20,0.17,0.18,0.16,0.17,1685703731
27-Nov-20,0.14,0.17,0.14,0.17,1899520289
26-Nov-20,0.16,0.17,0.12,0.14,2036249214
25-Nov-20,0.16,0.19,0.15,0.16,2857759446
24-Nov-20,0.11,0.17,0.11,0.17,3175275326
23-Nov-20,0.09,0.11,0.09,0.11,742745021
22-Nov-20,0.09,0.1,0.08,0.09,581868483
21-Nov-20,0.07,0.09,0.07,0.09,545371452
20-Nov-20,0.07,0.07,0.07,0.07,149167584
19-Nov-20,0.07,0.07,0.07,0.07,135026333
18-Nov-20,0.07,0.07,0.07,0.07,168917979
17-Nov-20,0.07,0.07,0.07,0.07,197994388
16-Nov-20,0.07,0.07,0.07,0.07,121691826
15-Nov-20,0.07,0.07,0.07,0.07,110555542
14-Nov-20,0.07,0.07,0.07,0.07,144509792
13-Nov-20,0.07,0.07,0.07,0.07,119658414
12-Nov-20,0.07,0.07,0.07,0.07,115117308
11-Nov-20,0.07,0.07,0.07,0.07,120440636
10-Nov-20,0.07,0.07,0.07,0.07,127900600
09-Nov-20,0.07,0.07,0.07,0.07,127706268
08-Nov-20,0.07,0.07,0.07,0.07,115753445
07-Nov-20,0.07,0.07,0.07,0.07,174776905
06-Nov-20,0.07,0.07,0.07,0.07,167405840
05-Nov-20,0.06,0.07,0.06,0.07,153764775
04-Nov-20,0.06,0.06,0.06,0.06,101285456
03-Nov-20,0.07,0.07,0.06,0.06,108918516
02-Nov-20,0.07,0.07,0.06,0.06,111232787
01-Nov-20,0.07,0.07,0.07,0.07,98908914
31-Oct-20,0.07,0.07,0.07,0.07,117817029
30-Oct-20,0.07,0.07,0.06,0.07,101641367
29-Oct-20,0.07,0.07,0.06,0.07,121859125
28-Oct-20,0.07,0.07,0.07,0.07,141073971
27-Oct-20,0.07,0.07,0.07,0.07,146558479
26-Oct-20,0.07,0.07,0.07,0.07,153061661
25-Oct-20,0.07,0.07,0.07,0.07,117309327
24-Oct-20,0.07,0.07,0.07,0.07,121213533
23-Oct-20,0.07,0.07,0.07,0.07,129733435
22-Oct-20,0.07,0.07,0.07,0.07,164970889
21-Oct-20,0.07,0.07,0.07,0.07,198301294
20-Oct-20,0.07,0.07,0.07,0.07,184069547
19-Oct-20,0.07,0.07,0.07,0.07,261101158
18-Oct-20,0.07,0.07,0.07,0.07,140896034
17-Oct-20,0.07,0.07,0.07,0.07,229270630
16-Oct-20,0.06,0.07,0.06,0.07,137505606
15-Oct-20,0.06,0.06,0.06,0.06,98067849
14-Oct-20,0.07,0.07,0.06,0.06,102614672
13-Oct-20,0.07,0.07,0.06,0.06,106345549
12-Oct-20,0.07,0.07,0.06,0.07,112721665
11-Oct-20,0.07,0.07,0.07,0.07,101656791
10-Oct-20,0.06,0.07,0.06,0.07,123279146
09-Oct-20,0.06,0.06,0.06,0.06,132986150
08-Oct-20,0.06,0.06,0.06,0.06,111611011
07-Oct-20,0.06,0.06,0.06,0.06,113865700
06-Oct-20,0.06,0.06,0.06,0.06,137077651
05-Oct-20,0.06,0.06,0.06,0.06,108063250
04-Oct-20,0.06,0.06,0.06,0.06,91186263
03-Oct-20,0.06,0.06,0.06,0.06,86021192
02-Oct-20,0.06,0.06,0.06,0.06,134639386
01-Oct-20,0.06,0.07,0.06,0.06,135481235
30-Sep-20,0.06,0.06,0.06,0.06,101841591
29-Sep-20,0.06,0.06,0.06,0.06,103501151
28-Sep-20,0.06,0.07,0.06,0.06,118369544
27-Sep-20,0.06,0.06,0.06,0.06,102343966
26-Sep-20,0.06,0.07,0.06,0.06,107139713
25-Sep-20,0.06,0.06,0.06,0.06,150202201
24-Sep-20,0.06,0.06,0.06,0.06,127053075
23-Sep-20,0.06,0.06,0.06,0.06,103100235
22-Sep-20,0.06,0.06,0.06,0.06,91990136
21-Sep-20,0.07,0.07,0.06,0.06,105464602
20-Sep-20,0.07,0.07,0.06,0.07,85918823
19-Sep-20,0.07,0.07,0.07,0.07,86894662
18-Sep-20,0.07,0.07,0.07,0.07,93043013
17-Sep-20,0.07,0.07,0.07,0.07,130698644
16-Sep-20,0.07,0.07,0.06,0.07,155130205
15-Sep-20,0.07,0.07,0.07,0.07,142049480
14-Sep-20,0.07,0.07,0.07,0.07,127315491
13-Sep-20,0.07,0.07,0.07,0.07,118493862
12-Sep-20,0.07,0.07,0.07,0.07,110229741
11-Sep-20,0.07,0.07,0.07,0.07,120111799
10-Sep-20,0.07,0.07,0.07,0.07,136801758
09-Sep-20,0.07,0.07,0.06,0.07,100473643
08-Sep-20,0.07,0.07,0.06,0.07,126644773
07-Sep-20,0.07,0.07,0.06,0.07,138124654
06-Sep-20,0.06,0.07,0.06,0.07,167484501
05-Sep-20,0.07,0.07,0.06,0.06,192589351
04-Sep-20,0.07,0.07,0.06,0.07,252867884
03-Sep-20,0.08,0.08,0.07,0.07,234944695
02-Sep-20,0.08,0.08,0.08,0.08,227310792
