Date,Open,High,Low,Close,Volume
21-May-21,0.21,0.23,0.16,0.19,9237288
20-May-21,0.19,0.22,0.17,0.21,8934149
19-May-21,0.24,0.24,0.15,0.19,16363424
18-May-21,0.25,0.27,0.24,0.24,10903020
17-May-21,0.18,0.26,0.17,0.25,28560214
16-May-21,0.18,0.2,0.18,0.18,4431519
15-May-21,0.2,0.21,0.18,0.18,5743485
14-May-21,0.15,0.2,0.15,0.2,6334962
13-May-21,0.17,0.18,0.15,0.15,6120655
12-May-21,0.18,0.19,0.16,0.16,5914184
11-May-21,0.18,0.19,0.17,0.18,6888839
10-May-21,0.2,0.21,0.18,0.18,7622540
09-May-21,0.21,0.23,0.2,0.2,7396351
08-May-21,0.19,0.22,0.18,0.21,6731576
07-May-21,0.19,0.2,0.19,0.19,5190494
06-May-21,0.19,0.2,0.18,0.2,7561021
05-May-21,0.21,0.22,0.19,0.19,6499193
04-May-21,0.21,0.22,0.2,0.21,4155822
03-May-21,0.22,0.23,0.21,0.21,3196786
02-May-21,0.24,0.24,0.22,0.22,2590722
01-May-21,0.24,0.25,0.23,0.24,3515448
30-Apr-21,0.2,0.25,0.2,0.24,7438948
29-Apr-21,0.23,0.26,0.19,0.2,7265781
28-Apr-21,0.18,0.27,0.18,0.23,7343913
27-Apr-21,0.24,0.26,0.17,0.18,11051662
26-Apr-21,0.27,0.28,0.21,0.24,7187204
25-Apr-21,0.29,0.29,0.26,0.27,1686864
24-Apr-21,0.31,0.31,0.28,0.29,1423424
23-Apr-21,0.31,0.32,0.29,0.31,2396715
22-Apr-21,0.32,0.34,0.31,0.31,1496836
21-Apr-21,0.33,0.34,0.31,0.32,1466391
20-Apr-21,0.31,0.33,0.29,0.33,2094266
19-Apr-21,0.32,0.32,0.3,0.31,1894169
18-Apr-21,0.34,0.35,0.3,0.32,2452033
17-Apr-21,0.34,0.34,0.32,0.34,1780966
16-Apr-21,0.35,0.35,0.32,0.34,2528524
15-Apr-21,0.36,0.36,0.32,0.35,2535448
14-Apr-21,0.35,0.37,0.33,0.36,3415182
13-Apr-21,0.35,0.36,0.34,0.35,2254048
12-Apr-21,0.36,0.36,0.34,0.35,2012603
11-Apr-21,0.37,0.37,0.36,0.36,1891059
10-Apr-21,0.38,0.39,0.36,0.37,1826891
09-Apr-21,0.37,0.38,0.36,0.38,1926921
08-Apr-21,0.36,0.38,0.35,0.38,1586136
07-Apr-21,0.38,0.39,0.35,0.36,2171220
06-Apr-21,0.38,0.38,0.37,0.38,2181662
05-Apr-21,0.35,0.38,0.29,0.38,4370859
04-Apr-21,0.37,0.38,0.34,0.36,2967780
03-Apr-21,0.4,0.43,0.37,0.37,3084018
02-Apr-21,0.41,0.43,0.38,0.4,3863135
01-Apr-21,0.4,0.42,0.4,0.41,2467728
31-Mar-21,0.44,0.45,0.4,0.4,2548735
30-Mar-21,0.43,0.47,0.42,0.44,2471358
29-Mar-21,0.42,0.44,0.41,0.43,1189410
28-Mar-21,0.41,0.45,0.38,0.42,1860206
27-Mar-21,0.48,0.51,0.4,0.41,2192539
26-Mar-21,0.52,0.53,0.45,0.47,2225261
25-Mar-21,0.58,0.63,0.49,0.52,3814580
24-Mar-21,0.57,0.64,0.52,0.58,711093
23-Mar-21,0.51,0.59,0.48,0.57,934864
22-Mar-21,0.48,0.57,0.48,0.51,1194407
21-Mar-21,0.39,0.65,0.39,0.47,0
20-Mar-21,0.32,0.43,0.32,0.39,0
19-Mar-21,0.32,0.34,0.32,0.32,0
