Date,Open,High,Low,Close,Volume
21-May-21,0.82,0.82,0.82,0.82,143750396786
20-May-21,0.82,0.82,0.82,0.82,167088269147
19-May-21,0.82,0.82,0.82,0.82,228338573521
18-May-21,0.82,0.82,0.82,0.82,114751253581
17-May-21,0.82,0.82,0.82,0.82,143326364350
16-May-21,0.82,0.82,0.82,0.82,128594671417
15-May-21,0.82,0.82,0.82,0.82,131929373571
14-May-21,0.83,0.83,0.83,0.83,130586197761
13-May-21,0.83,0.83,0.83,0.83,197542931985
12-May-21,0.82,0.82,0.82,0.82,148108184201
11-May-21,0.82,0.82,0.82,0.82,144403962198
10-May-21,0.82,0.82,0.82,0.82,161599852749
09-May-21,0.82,0.82,0.82,0.82,145622908888
08-May-21,0.82,0.82,0.82,0.82,127408815307
07-May-21,0.83,0.83,0.83,0.83,162356039345
06-May-21,0.83,0.83,0.83,0.83,174169617632
05-May-21,0.83,0.83,0.83,0.83,162006739256
04-May-21,0.83,0.83,0.83,0.83,152985208720
03-May-21,0.83,0.83,0.83,0.83,95962534725
02-May-21,0.83,0.83,0.83,0.83,72496149123
01-May-21,0.83,0.83,0.83,0.83,77838413742
30-Apr-21,0.82,0.82,0.82,0.82,81744574314
29-Apr-21,0.82,0.82,0.82,0.82,77224832032
28-Apr-21,0.83,0.83,0.83,0.83,88689312101
27-Apr-21,0.83,0.83,0.83,0.83,83482503486
26-Apr-21,0.83,0.83,0.83,0.83,94886399752
25-Apr-21,0.83,0.83,0.83,0.83,75830524266
24-Apr-21,0.83,0.83,0.83,0.83,87016501827
23-Apr-21,0.83,0.83,0.83,0.83,167249711606
22-Apr-21,0.83,0.83,0.83,0.83,138576823715
21-Apr-21,0.83,0.83,0.83,0.83,108471771861
20-Apr-21,0.83,0.83,0.83,0.83,142155136997
19-Apr-21,0.84,0.84,0.84,0.84,141738610166
18-Apr-21,0.84,0.86,0.83,0.83,189008092403
17-Apr-21,0.84,0.84,0.83,0.84,148975251966
16-Apr-21,0.84,0.84,0.84,0.84,194108030030
15-Apr-21,0.84,0.84,0.83,0.84,111996087293
14-Apr-21,0.84,0.84,0.84,0.84,143913802454
13-Apr-21,0.84,0.84,0.84,0.84,115139389773
12-Apr-21,0.84,0.84,0.84,0.84,89697068657
11-Apr-21,0.84,0.84,0.84,0.84,84260182799
10-Apr-21,0.84,0.84,0.84,0.84,93741805527
09-Apr-21,0.84,0.84,0.84,0.84,72585371923
08-Apr-21,0.84,0.84,0.84,0.84,84484476210
07-Apr-21,0.84,0.84,0.84,0.84,135600904500
06-Apr-21,0.85,0.85,0.85,0.85,123471090343
05-Apr-21,0.85,0.85,0.85,0.85,112446251363
04-Apr-21,0.85,0.86,0.85,0.85,84579640880
03-Apr-21,0.85,0.85,0.85,0.85,93189581540
02-Apr-21,0.85,0.85,0.85,0.85,88066710348
01-Apr-21,0.85,0.85,0.85,0.85,92370480204
31-Mar-21,0.85,0.86,0.85,0.85,94908752587
30-Mar-21,0.85,0.85,0.85,0.85,70272561011
29-Mar-21,0.85,0.85,0.85,0.85,68612338094
28-Mar-21,0.85,0.85,0.85,0.85,58769088345
27-Mar-21,0.85,0.85,0.85,0.85,62391771436
26-Mar-21,0.85,0.85,0.85,0.85,70417943318
25-Mar-21,0.85,0.85,0.85,0.85,82345900600
24-Mar-21,0.85,0.85,0.84,0.85,82062946957
23-Mar-21,0.84,0.84,0.84,0.84,73479901385
22-Mar-21,0.84,0.84,0.84,0.84,72391245339
21-Mar-21,0.84,0.84,0.84,0.84,63143182618
20-Mar-21,0.84,0.84,0.84,0.84,66052979939
19-Mar-21,0.84,0.84,0.84,0.84,66278123980
18-Mar-21,0.83,0.84,0.83,0.84,72917670450
17-Mar-21,0.84,0.84,0.84,0.84,79211199833
16-Mar-21,0.84,0.84,0.84,0.84,84829552213
15-Mar-21,0.84,0.84,0.84,0.84,92817932487
14-Mar-21,0.84,0.84,0.84,0.84,69878159023
13-Mar-21,0.84,0.84,0.84,0.84,88094800490
12-Mar-21,0.83,0.84,0.83,0.83,82941401184
11-Mar-21,0.84,0.84,0.84,0.84,78454456027
10-Mar-21,0.84,0.84,0.84,0.84,79878956853
09-Mar-21,0.84,0.84,0.84,0.84,80544236629
08-Mar-21,0.84,0.84,0.84,0.84,74521125332
07-Mar-21,0.84,0.84,0.84,0.84,58834545570
06-Mar-21,0.84,0.84,0.84,0.84,56007704422
05-Mar-21,0.84,0.84,0.84,0.84,73109061035
04-Mar-21,0.83,0.83,0.83,0.83,85656812884
03-Mar-21,0.83,0.83,0.83,0.83,78437415554
02-Mar-21,0.83,0.83,0.83,0.83,77021996753
01-Mar-21,0.83,0.83,0.83,0.83,79627199759
28-Feb-21,0.83,0.83,0.83,0.83,88211560009
27-Feb-21,0.83,0.83,0.83,0.83,78453628218
26-Feb-21,0.82,0.82,0.82,0.82,102444380680
25-Feb-21,0.82,0.82,0.82,0.82,86683666950
24-Feb-21,0.82,0.82,0.82,0.82,106170109548
23-Feb-21,0.82,0.82,0.82,0.82,161097472858
22-Feb-21,0.83,0.83,0.82,0.83,139984910485
21-Feb-21,0.83,0.83,0.83,0.83,84538707398
20-Feb-21,0.83,0.83,0.82,0.83,113453986986
19-Feb-21,0.83,0.83,0.83,0.83,94003797110
18-Feb-21,0.83,0.83,0.83,0.83,78836781563
17-Feb-21,0.83,0.83,0.83,0.83,115080658274
16-Feb-21,0.82,0.82,0.82,0.82,116230600753
15-Feb-21,0.83,0.83,0.82,0.83,134235706362
14-Feb-21,0.83,0.83,0.83,0.83,114148706217
13-Feb-21,0.83,0.83,0.83,0.83,126335141843
12-Feb-21,0.82,0.83,0.82,0.83,121267980965
11-Feb-21,0.83,0.83,0.83,0.83,119360519172
10-Feb-21,0.83,0.83,0.83,0.83,138085234573
09-Feb-21,0.83,0.83,0.83,0.83,129112566090
08-Feb-21,0.83,0.83,0.83,0.83,130037266779
07-Feb-21,0.83,0.83,0.83,0.83,108181619917
06-Feb-21,0.83,0.83,0.83,0.83,100455578955
05-Feb-21,0.84,0.84,0.84,0.84,97143025666
04-Feb-21,0.83,0.83,0.83,0.83,108048294525
03-Feb-21,0.83,0.83,0.83,0.83,88240448479
02-Feb-21,0.83,0.83,0.83,0.83,93128534971
01-Feb-21,0.83,0.83,0.82,0.83,97182447658
31-Jan-21,0.82,0.82,0.82,0.82,83483024723
30-Jan-21,0.82,0.82,0.82,0.82,95282189396
29-Jan-21,0.83,0.83,0.82,0.83,151512114734
