PRICE,AMOUNT,COIN
0.39,33,Sora
0.75,34,Stellar
1.67,12,Paxos
1.31,17,Tezos
0.68,32,Paxos
0.78,27,Waves
1.48,34,Stellar
1.05,15,Paxos
1.92,47,Sapienzacoin
1.44,51,Waves
1.22,36,Revain
1.57,50,Sora
0.17,31,Ethereum
0.47,6,Stellar
1.46,33,Stellar
0.78,39,Tether
0.24,37,Bitcoin
0.37,8,Revain
0.82,12,Sora
0.82,15,Sapienzacoin
0.17,34,Algorand
0.87,49,Bitcoin
1.65,27,Waves
1.98,22,Stellar
1.66,33,Stellar
1.26,7,Tether
1.79,1,Chainlink
1.89,41,Symbol
1.37,41,Ethereum
1.05,16,Stellar
1.64,46,Algorand
0.3,24,Sora
0.46,37,Bitcoin
1.84,8,Sora
0.4,15,Sapienzacoin
0.53,3,Waves
0.76,31,Ethereum
0.72,25,Algorand
1.14,15,Paxos
0.23,37,Sapienzacoin
1.58,38,Tether
0.67,10,Symbol
0.64,22,Stellar
0.99,37,Solve
1.03,43,Waves
1.9,36,Sora
0.92,23,Dai
0.71,26,Sora
1.18,40,Sapienzacoin
1.83,17,Sora
0.22,26,Sora
1.47,44,Bitcoin
0.44,8,Chainlink
1.06,9,Symbol
0.23,18,Revain
1.12,24,Stellar
0.32,48,Algorand
0.56,15,Bitcoin
1.26,12,Bitcoin
0.89,21,Algorand
1.37,11,Tezos
1.51,8,Sora
1.05,18,Sapienzacoin
1.25,16,Tether
0.16,34,Ethereum
0.3,45,Sapienzacoin
0.24,36,Waves
0.1,12,Tezos
1.4,25,Algorand
1.74,25,Waves
0.46,35,Sora
1.55,12,Tether
0.97,9,Paxos
0.55,32,Waves
0.34,35,Revain
0.15,36,Ethereum
1.88,28,Tezos
0.99,17,Sora
0.29,50,Ethereum
1.16,20,Chainlink
1.07,18,Algorand
1.99,28,Tether
0.61,4,Sora
0.94,7,Tether
0.26,11,Paxos
0.87,42,Revain
0.14,42,Stellar
0.41,49,Waves
0.64,4,Sora
1.94,33,Stellar
0.73,23,Paxos
0.85,13,Stellar
0.37,9,Tezos
0.21,36,Stellar
0.41,47,Dai
0.75,15,Revain
0.33,18,Solve
0.4,12,Sora
1.45,20,Solve
0.77,8,Dai
0.27,14,Solve
1.16,15,Symbol
0.44,21,Ethereum
1.3,20,Sora
0.53,48,Bitcoin
1.42,32,Symbol
1,46,Algorand
1.05,34,Ethereum
0.29,10,Sapienzacoin
1.15,28,Algorand
1.11,45,Chainlink
1.87,29,Tezos
0.34,30,Paxos
1.39,49,Bitcoin
1.53,51,Symbol
1.83,2,Solve
1.6,2,Algorand
0.74,10,Sapienzacoin
0.41,51,Symbol
0.15,11,Sora
1.83,10,Sora
1.02,45,Stellar
1.22,26,Sapienzacoin
1.97,23,Sapienzacoin
0.83,24,Solve
1.89,17,Paxos
1.04,25,Sapienzacoin
1.47,38,Sapienzacoin
0.91,40,Stellar
0.74,40,Ethereum
0.28,17,Bitcoin
0.83,39,Sapienzacoin
1.81,13,Ethereum
0.99,51,Sora
0.61,28,Sora
1.38,2,Stellar
1.74,4,Sapienzacoin
1.03,15,Sora
1.45,47,Tether
0.85,20,Algorand
1.75,46,Bitcoin
1.29,18,Solve
0.83,38,Sapienzacoin
0.29,12,Solve
1.89,50,Solve
0.57,17,Algorand
1.82,7,Paxos
0.78,44,Bitcoin
0.98,9,Revain
1.21,41,Ethereum
1.03,32,Bitcoin
1.01,9,Revain
0.14,37,Tezos
