PRICE,AMOUNT,COIN
0.39,33,Ethereum
0.75,34,Tether
1.67,12,Dai
1.31,17,Symbol
0.68,32,Tezos
0.78,27,Sora
1.48,34,Symbol
1.05,15,Symbol
1.92,47,Stellar
1.44,51,Dai
1.22,36,Symbol
1.57,50,Chainlink
0.17,31,Revain
0.47,6,Solve
1.46,33,Chainlink
0.78,39,Tezos
0.24,37,Symbol
0.37,8,Bitcoin
0.82,12,Bitcoin
0.82,15,Symbol
0.17,34,Tezos
0.87,49,Symbol
1.65,27,Ethereum
1.98,22,Symbol
1.66,33,Waves
1.26,7,Ethereum
1.79,1,Ethereum
1.89,41,Ethereum
1.37,41,Bitcoin
1.05,16,Tezos
1.64,46,Ethereum
0.3,24,Symbol
0.46,37,Ethereum
1.84,8,Dai
0.4,15,Stellar
0.53,3,Dai
0.76,31,Sora
0.72,25,Symbol
1.14,15,Dai
0.23,37,Symbol
1.58,38,Solve
0.67,10,Algorand
0.64,22,Chainlink
0.99,37,Sapienzacoin
1.03,43,Algorand
1.9,36,Algorand
0.92,23,Paxos
0.71,26,Stellar
1.18,40,Sora
1.83,17,Dai
0.22,26,Paxos
1.47,44,Dai
0.44,8,Symbol
1.06,9,Tezos
0.23,18,Ethereum
1.12,24,Tezos
0.32,48,Paxos
0.56,15,Stellar
1.26,12,Stellar
0.89,21,Chainlink
1.37,11,Ethereum
1.51,8,Symbol
1.05,18,Tether
1.25,16,Waves
0.16,34,Tether
0.3,45,Stellar
0.24,36,Bitcoin
0.1,12,Symbol
1.4,25,Waves
1.74,25,Revain
0.46,35,Tether
1.55,12,Waves
0.97,9,Sapienzacoin
0.55,32,Chainlink
0.34,35,Dai
0.15,36,Tezos
1.88,28,Revain
0.99,17,Algorand
0.29,50,Sora
1.16,20,Dai
1.07,18,Sapienzacoin
1.99,28,Bitcoin
0.61,4,Symbol
0.94,7,Sora
0.26,11,Tether
0.87,42,Algorand
0.14,42,Dai
0.41,49,Ethereum
0.64,4,Algorand
1.94,33,Solve
0.73,23,Dai
0.85,13,Sora
0.37,9,Revain
0.21,36,Solve
0.41,47,Paxos
0.75,15,Paxos
0.33,18,Tether
0.4,12,Tether
1.45,20,Chainlink
0.77,8,Bitcoin
0.27,14,Dai
1.16,15,Bitcoin
0.44,21,Revain
1.3,20,Revain
0.53,48,Paxos
1.42,32,Tezos
1,46,Bitcoin
1.05,34,Stellar
0.29,10,Waves
1.15,28,Ethereum
1.11,45,Algorand
1.87,29,Chainlink
0.34,30,Waves
1.39,49,Algorand
1.53,51,Chainlink
1.83,2,Sapienzacoin
1.6,2,Waves
0.74,10,Tether
0.41,51,Ethereum
0.15,11,Solve
1.83,10,Waves
1.02,45,Ethereum
1.22,26,Tether
1.97,23,Solve
0.83,24,Tezos
1.89,17,Revain
1.04,25,Tezos
1.47,38,Stellar
0.91,40,Chainlink
0.74,40,Chainlink
0.28,17,Symbol
0.83,39,Stellar
1.81,13,Stellar
0.99,51,Algorand
0.61,28,Symbol
1.38,2,Chainlink
1.74,4,Chainlink
1.03,15,Waves
1.45,47,Symbol
0.85,20,Revain
1.75,46,Tether
1.29,18,Revain
0.83,38,Symbol
0.29,12,Dai
1.89,50,Paxos
0.57,17,Symbol
1.82,7,Symbol
0.78,44,Ethereum
0.98,9,Sora
1.21,41,Tezos
1.03,32,Solve
1.01,9,Sapienzacoin
0.14,37,Symbol
1.35,32,Chainlink
1.79,22,Ethereum
0.84,25,Stellar
0.77,26,Tether
1.92,43,Chainlink
1.99,5,Dai
1.04,30,Tether
1.66,31,Sora
0.84,46,Sora
1.27,50,Solve
1.08,50,Paxos
1.63,47,Bitcoin
0.7,37,Algorand
0.14,2,Sora
0.39,48,Bitcoin
1.4,12,Solve
1.6,28,Tether
1.1,29,Paxos
0.12,21,Ethereum
0.65,10,Sora
1.66,40,Symbol
0.6,46,Sapienzacoin
0.23,12,Ethereum
1.41,42,Tezos
0.37,40,Symbol
1.34,3,Sora
1.17,35,Dai
1.86,19,Chainlink
1.64,33,Tether
1.23,4,Ethereum
0.26,18,Algorand
0.31,37,Dai
1.42,1,Stellar
0.39,34,Sora
0.66,45,Bitcoin
0.62,14,Tether
0.12,42,Sapienzacoin
0.34,40,Sapienzacoin
1.25,48,Algorand
0.92,44,Waves
0.83,51,Solve
0.48,47,Solve
1.48,31,Waves
1.96,7,Symbol
0.16,2,Ethereum
0.76,27,Sapienzacoin
0.22,32,Chainlink
1.41,6,Sapienzacoin
1.86,11,Stellar
1.26,11,Tezos
1.45,29,Stellar
0.11,24,Paxos
0.11,29,Algorand
1.97,10,Waves
1.74,51,Bitcoin
0.98,51,Dai
1.24,27,Symbol
1.19,4,Bitcoin
1.69,42,Symbol
0.48,37,Ethereum
1.11,48,Sapienzacoin
1.08,33,Bitcoin
0.43,44,Waves
0.7,47,Stellar
0.72,36,Stellar
0.48,31,Bitcoin
0.53,6,Tether
0.76,19,Ethereum
1.53,22,Revain
1.01,2,Tether
1.5,27,Tezos
0.92,42,Solve
0.73,32,Paxos
0.31,38,Algorand
1.12,15,Revain
1.57,19,Bitcoin
0.79,45,Waves
0.76,20,Dai
1.7,49,Chainlink
0.52,48,Ethereum
1.76,42,Paxos
0.12,27,Tezos
0.84,9,Symbol
1.42,37,Bitcoin
0.92,29,Algorand
0.7,38,Tezos
0.32,18,Chainlink
1.24,7,Tether
1.46,5,Paxos
1.27,10,Waves
1.79,21,Ethereum
1.46,50,Tezos
1.18,32,Sapienzacoin
1.4,16,Algorand
0.58,32,Paxos
0.47,27,Dai
1.47,18,Chainlink
